Date,open,high,low,close,volume
2018-01-16,2094,2094,2094,2094,0
2018-01-17,2134,2134,2134,2134,0
2018-01-18,2129,2129,2129,2129,0
2018-01-19,2083,2083,2083,2083,0
2018-01-22,2091,2091,2091,2091,0
2018-01-23,2078,2078,2078,2078,0
2018-01-24,2100,2100,2100,2100,6
2018-01-25,2103,2103,2103,2103,0
2018-01-26,2125,2125,2125,2125,0
2018-01-29,2087,2087,2087,2087,0
2018-01-30,2108,2108,2108,2108,0
2018-01-31,2142,2142,2142,2142,5
2018-02-01,2161,2161,2161,2161,0
2018-02-02,2208,2208,2208,2208,0
2018-02-05,2208,2208,2208,2208,0
2018-02-06,2198,2198,2198,2198,69
2018-02-07,2172,2177,2171,2177,10
2018-02-08,2198,2198,2198,2198,0
2018-02-09,2197,2197,2197,2197,388
2018-02-12,2153,2153,2153,2153,0
2018-02-13,2182,2182,2182,2182,357
2018-02-14,2218,2221,2214,2221,168
2018-02-15,2235,2255,2226,2255,153
2018-02-16,2258,2258,2258,2258,0
2018-02-20,2263,2263,2263,2263,0
2018-02-21,2280,2293,2277,2293,162
2018-02-22,2275,2275,2275,2275,900
2018-02-23,2297,2307,2295,2307,226
2018-02-26,2315,2325,2287,2325,128
2018-02-27,2325,2339,2316,2336,63
2018-02-28,2327,2327,2327,2327,142
2018-03-01,2357,2357,2357,2357,296
2018-03-02,2391,2416,2389,2416,100
2018-03-05,2431,2507,2426,2507,557
2018-03-06,2509,2509,2509,2509,0
2018-03-07,2505,2516,2505,2510,680
2018-03-08,2517,2555,2517,2555,151
2018-03-09,2572,2572,2523,2527,159
2018-03-12,2569,2597,2567,2595,156
2018-03-13,2595,2603,2579,2583,1017
2018-03-14,2621,2621,2598,2609,219
2018-03-15,2577,2600,2565,2579,814
2018-03-16,2573,2585,2569,2571,1309
2018-03-19,2594,2594,2506,2509,685
2018-03-20,2534,2551,2533,2535,366
2018-03-21,2559,2582,2559,2582,7
2018-03-22,2595,2595,2595,2595,18
2018-03-23,2643,2689,2643,2670,498
2018-03-26,2675,2686,2668,2686,105
2018-03-27,2651,2651,2604,2624,56
2018-03-28,2618,2656,2618,2656,142
