Date,open,high,low,close,volume
2015-06-15,149.5,149.5,148.6,148.6,20
2015-06-16,150.45,150.45,150.45,150.45,0
2015-06-17,147.9,147.9,147.9,147.9,0
2015-06-18,150.25,150.25,150.25,150.25,0
2015-06-19,148.95,148.95,148.95,148.95,1
2015-06-22,151.4,151.4,151.4,151.4,0
2015-06-23,148.95,148.95,148.95,148.95,0
2015-06-24,153.4,153.4,153.4,153.4,0
2015-06-25,152.05,153.15,152.05,153.15,1
2015-06-26,154.1,154.1,151.4,151.4,1
2015-06-29,150.45,150.45,150.45,150.45,2
2015-06-30,151.35,151.35,151.35,151.35,0
2015-07-01,146.7,146.7,146.7,146.7,1
2015-07-02,147.65,147.65,147.65,147.65,1
2015-07-06,146.1,146.1,145.95,145.95,15
2015-07-07,145.0,145.5,145.0,145.5,2
2015-07-08,145.8,145.8,145.8,145.8,0
2015-07-09,146.0,146.0,146.0,146.0,0
2015-07-10,147.0,147.0,147.0,147.0,0
2015-07-13,149.4,149.4,149.4,149.4,0
2015-07-14,152.25,152.25,152.25,152.25,0
2015-07-15,150.25,150.25,149.95,150.1,2
2015-07-16,149.5,149.5,149.5,149.5,0
2015-07-17,149.15,149.15,149.15,149.15,0
2015-07-20,148.55,148.55,148.55,148.55,0
2015-07-21,147.15,147.15,147.15,147.15,0
2015-07-22,145.75,145.75,145.75,145.75,1
2015-07-23,143.75,143.75,142.7,142.7,2
2015-07-24,142.45,143.25,142.45,143.25,6
2015-07-27,142.15,142.15,141.2,141.45,24
2015-07-28,140.9,140.9,140.9,140.9,0
2015-07-29,142.6,142.6,142.6,142.6,0
2015-07-30,144.0,145.25,144.0,145.25,1
2015-07-31,146.0,146.0,145.8,145.8,1
2015-08-03,144.5,144.65,144.5,144.65,2
2015-08-04,144.0,145.8,144.0,145.35,4
2015-08-05,145.2,146.0,144.0,145.9,8
2015-08-06,145.6,147.8,144.05,144.2,23
2015-08-07,143.7,147.75,143.7,147.5,9
2015-08-10,150.2,152.7,150.2,152.7,7
2015-08-11,153.75,155.75,153.75,155.75,11
2015-08-12,155.45,155.45,150.85,151.15,5
2015-08-13,152.55,156.1,152.55,155.85,5
2015-08-14,157.05,157.05,156.3,156.3,2
2015-08-17,154.3,155.6,153.8,153.8,4
2015-08-18,153.35,154.6,153.35,154.45,2
