Date,open,high,low,close,volume
2008-05-15,120.0,120.0,120.0,120.0,0
2008-05-16,123.7,123.7,123.7,123.7,0
2008-05-19,125.72,125.72,125.72,125.72,3
2008-05-20,130.52,130.52,130.52,130.52,0
2008-05-21,134.43,134.43,134.43,134.43,10
2008-05-22,129.57,129.57,129.57,129.57,0
2008-05-23,129.13,129.13,129.13,129.13,0
2008-05-27,127.12,127.12,127.12,127.12,0
2008-05-28,127.38,127.38,127.38,127.38,0
2008-05-29,124.48,124.48,124.48,124.48,0
2008-05-30,124.23,124.23,124.23,124.23,0
2008-06-02,125.22,125.22,125.22,125.22,15
2008-06-03,123.24,123.24,123.24,123.24,0
2008-06-04,121.52,121.52,121.52,121.52,50
2008-06-05,125.69,125.69,125.69,125.69,0
2008-06-06,132.66,132.66,132.66,132.66,0
2008-06-09,129.88,129.88,129.88,129.88,0
2008-06-10,128.88,128.88,128.88,128.88,0
2008-06-11,134.44,134.44,134.44,134.44,36
2008-06-12,135.39,135.39,135.39,135.39,0
2008-06-13,134.37,134.37,134.37,134.37,0
2008-06-16,135.35,135.35,135.35,135.35,0
2008-06-17,134.26,134.26,134.26,134.26,375
2008-06-18,135.62,135.62,135.62,135.62,41
2008-06-19,131.74,131.74,131.74,131.74,0
2008-06-20,133.26,133.26,133.26,133.26,0
2008-06-23,134.7,134.7,134.7,134.7,0
2008-06-24,135.62,135.62,135.62,135.62,0
2008-06-25,133.74,133.74,133.74,133.74,0
2008-06-26,137.9,137.9,137.9,137.9,0
2008-06-27,138.38,138.38,138.38,138.38,0
2008-06-30,138.93,138.93,138.93,138.93,7
2008-07-01,140.11,140.11,140.11,140.11,0
2008-07-02,142.71,142.71,142.71,142.71,0
2008-07-03,144.29,144.29,144.29,144.29,0
2008-07-07,141.88,141.88,141.88,141.88,0
2008-07-08,137.66,137.66,137.66,137.66,0
2008-07-09,137.52,137.52,137.52,137.52,150
2008-07-10,141.69,141.69,141.69,141.69,0
2008-07-11,143.71,143.71,143.71,143.71,0
2008-07-14,144.71,144.71,144.71,144.71,0
2008-07-15,139.28,139.28,139.28,139.28,0
2008-07-16,136.07,136.07,136.07,136.07,0
2008-07-17,131.02,131.02,131.02,131.02,0
2008-07-18,130.37,130.37,130.37,130.37,0
2008-07-21,132.67,132.67,132.67,132.67,0
2008-07-22,130.08,130.08,130.08,130.08,0
2008-07-23,126.37,126.37,126.37,126.37,14
2008-07-24,125.3,125.3,125.3,125.3,0
2008-07-25,123.49,123.49,123.49,123.49,0
2008-07-28,124.78,124.78,124.78,124.78,0
2008-07-29,122.43,122.43,122.43,122.43,0
2008-07-30,125.94,125.94,125.94,125.94,0
2008-07-31,123.21,123.21,123.21,123.21,40
2008-08-01,124.64,124.64,124.64,124.64,0
2008-08-04,120.84,120.84,120.84,120.84,0
2008-08-05,117.57,117.57,117.57,117.57,200
2008-08-06,116.78,116.78,116.78,116.78,0
2008-08-07,117.29,117.29,117.29,117.29,0
2008-08-08,114.61,114.61,114.61,114.61,35
2008-08-11,114.33,114.33,114.33,114.33,10
2008-08-12,112.79,112.79,112.79,112.79,0
2008-08-13,115.02,115.02,115.02,115.02,550
2008-08-14,114.46,114.46,114.46,114.46,6
2008-08-15,114.38,114.38,114.38,114.38,0
2008-08-18,113.08,113.08,113.08,113.08,75
2008-08-19,114.55,114.55,114.55,114.55,100
2008-08-20,116.53,116.53,116.53,116.53,0
2008-08-21,123.26,123.26,123.26,123.26,0
2008-08-22,116.95,116.95,116.95,116.95,0
2008-08-25,117.79,117.79,117.79,117.79,0
2008-08-26,118.13,118.13,118.13,118.13,0
2008-08-27,119.6,119.6,119.6,119.6,0
2008-08-28,117.81,117.81,117.81,117.81,0
2008-08-29,117.37,117.37,117.37,117.37,0
2008-09-02,114.61,114.61,114.61,114.61,90
2008-09-03,113.78,113.78,113.78,113.78,200
2008-09-04,111.97,111.97,111.97,111.97,22
2008-09-05,109.87,109.87,109.87,109.87,25
2008-09-08,109.67,109.67,109.67,109.67,0
2008-09-09,106.82,106.82,106.82,106.82,0
2008-09-10,106.11,106.11,106.11,106.11,0
2008-09-11,104.71,104.71,104.71,104.71,0
2008-09-12,105.49,105.49,105.49,105.49,0
2008-09-15,100.11,100.11,100.11,100.11,0
2008-09-16,94.59,94.59,94.59,94.59,0
2008-09-17,99.19,99.19,99.19,99.19,0
2008-09-18,100.37,100.37,100.37,100.37,0
2008-09-19,104.72,104.72,104.72,104.72,0
2008-09-22,110.33,110.33,110.33,110.33,0
2008-09-23,106.61,106.61,106.61,106.61,0
2008-09-24,106.59,106.59,106.59,106.59,0
2008-09-25,109.15,109.15,109.15,109.15,15
2008-09-26,108.68,108.68,108.68,108.68,0
2008-09-29,100.51,100.51,100.51,100.51,0
2008-09-30,104.41,104.41,104.41,104.41,0
2008-10-01,101.81,101.81,101.81,101.81,45
2008-10-02,97.27,97.27,97.27,97.27,0
2008-10-03,96.2,96.2,96.2,96.2,8
2008-10-06,90.6,90.6,90.6,90.6,0
2008-10-07,92.33,92.33,92.33,92.33,8
2008-10-08,92.29,92.29,92.29,92.29,201
2008-10-09,91.42,91.42,91.42,91.42,0
2008-10-10,84.47,84.47,84.47,84.47,201
2008-10-13,87.54,87.54,87.54,87.54,0
2008-10-14,85.21,85.21,85.21,85.21,50
2008-10-15,81.69,81.69,81.69,81.69,0
2008-10-16,77.87,77.87,77.87,77.87,0
2008-10-17,79.53,79.53,79.53,79.53,41
2008-10-20,81.72,81.72,81.72,81.72,236
2008-10-21,80.4,80.4,80.4,80.4,11
2008-10-22,74.98,74.98,74.98,74.98,0
2008-10-23,75.83,75.83,75.83,75.83,252
2008-10-24,72.4,72.4,72.4,72.4,41
2008-10-27,71.26,71.26,71.26,71.26,20
2008-10-28,70.13,70.13,70.13,70.13,27
2008-10-29,75.42,75.42,75.42,75.42,310
2008-10-30,75.09,75.09,75.09,75.09,0
2008-10-31,77.0,77.0,77.0,77.0,200
2008-11-03,74.16,74.16,74.16,74.16,0
2008-11-04,81.68,81.68,81.68,81.68,9
2008-11-05,77.34,77.34,77.34,77.34,5
2008-11-06,73.58,73.58,73.58,73.58,0
2008-11-07,74.0,74.0,74.0,74.0,0
2008-11-10,74.36,74.36,74.36,74.36,1
2008-11-11,71.75,71.75,71.75,71.75,43
2008-11-12,68.85,68.85,68.85,68.85,498
2008-11-13,70.94,70.94,70.94,70.94,57
2008-11-14,69.81,69.81,69.81,69.81,0
2008-11-17,67.82,67.82,67.82,67.82,0
2008-11-18,66.65,66.65,66.65,66.65,4
2008-11-19,66.88,66.88,66.88,66.88,21
2008-11-20,63.27,63.27,63.27,63.27,193
2008-11-21,63.67,63.67,63.67,63.67,229
2008-11-24,67.93,67.93,67.93,67.93,200
2008-11-25,65.14,65.14,65.14,65.14,413
2008-11-26,68.38,68.38,68.38,68.38,0
2008-11-28,68.5,68.5,68.5,68.5,0
2008-12-01,64.35,64.35,64.35,64.35,63
2008-12-02,62.64,62.64,62.64,62.64,0
2008-12-03,63.17,63.17,63.17,63.17,112
2008-12-04,60.88,60.88,60.88,60.88,28
2008-12-05,59.5,59.5,58.05,58.05,236
2008-12-08,61.1,61.1,61.1,61.1,0
2008-12-09,58.64,58.64,58.64,58.64,1
2008-12-10,59.34,59.34,58.01,58.01,60
2008-12-11,62.31,62.31,62.31,62.31,0
2008-12-12,61.51,61.51,61.51,61.51,275
2008-12-15,60.53,60.53,60.53,60.53,24
2008-12-16,59.74,59.74,59.74,59.74,1
2008-12-17,59.06,59.06,59.06,59.06,148
2008-12-18,57.43,57.43,57.43,57.43,157
2008-12-19,57.95,57.95,57.95,57.95,36
2008-12-22,55.19,55.19,55.19,55.19,135
2008-12-23,54.73,54.73,54.73,54.73,45
2008-12-24,52.58,52.58,51.85,51.85,102
2008-12-26,54.42,54.42,54.42,54.42,0
2008-12-29,56.34,56.34,56.34,56.34,13
2008-12-30,56.73,56.73,56.73,56.73,0
2008-12-31,61.62,61.62,61.62,61.62,0
2009-01-02,63.1,63.1,63.1,63.1,633
2009-01-05,64.77,64.77,64.77,64.77,5
2009-01-06,64.87,64.87,64.87,64.87,12
2009-01-07,61.57,61.57,61.57,61.57,369
2009-01-08,61.36,61.36,61.36,61.36,162
2009-01-09,61.65,61.65,61.65,61.65,93
2009-01-12,60.31,60.31,60.31,60.31,46
2009-01-13,61.39,61.39,61.39,61.39,159
2009-01-14,59.68,61.31,59.38,61.31,76
2009-01-15,61.2,61.2,61.2,61.2,286
2009-01-16,60.49,60.49,60.49,60.49,135
2009-01-20,57.1,57.1,57.1,57.1,170
2009-01-21,56.35,56.35,56.18,56.18,573
2009-01-22,56.3,56.3,56.3,56.3,61
2009-01-23,58.67,58.67,58.67,58.67,393
2009-01-26,57.31,57.31,57.31,57.31,276
2009-01-27,55.97,55.97,55.97,55.97,106
2009-01-28,57.34,57.34,57.34,57.34,206
2009-01-29,57.54,57.54,57.54,57.54,79
2009-01-30,56.84,56.84,56.84,56.84,391
2009-02-02,54.86,54.86,54.86,54.86,58
2009-02-03,54.94,54.94,54.94,54.94,74
2009-02-04,55.81,55.81,55.81,55.81,45
2009-02-05,57.14,57.14,57.14,57.14,137
2009-02-06,56.33,57.67,56.25,57.67,14
2009-02-09,57.54,57.54,57.54,57.54,81
2009-02-10,56.04,56.04,56.04,56.04,204
2009-02-11,56.3,56.3,56.25,56.25,146
2009-02-12,56.59,56.59,56.59,56.59,278
2009-02-13,55.26,55.26,55.26,55.26,75
2009-02-17,52.44,52.44,51.6,51.6,784
2009-02-18,49.41,49.41,49.41,49.41,307
2009-02-19,52.26,52.26,52.26,52.26,373
2009-02-20,51.67,51.67,51.67,51.67,37
2009-02-23,51.53,51.53,51.53,51.53,135
2009-02-24,52.63,52.63,52.63,52.63,994
2009-02-25,53.36,53.36,53.36,53.36,1414
2009-02-26,55.61,55.61,55.61,55.61,127
2009-02-27,54.71,54.71,54.71,54.71,568
2009-03-02,51.0,51.0,50.79,50.79,132
2009-03-03,51.77,51.77,51.77,51.77,689
2009-03-04,53.1,53.56,53.1,53.56,868
2009-03-05,52.6,52.72,52.5,52.72,1101
2009-03-06,53.62,53.62,53.62,53.62,537
2009-03-09,53.63,53.9,53.16,53.16,411
