Date,open,high,low,close,volume
2020-08-17,2.9845,2.9845,2.9845,2.9845,0
2020-08-18,3.0415,3.0415,3.0415,3.0415,0
2020-08-19,3.083,3.083,3.083,3.083,0
2020-08-20,3.0435,3.0435,3.0435,3.0435,0
2020-08-21,2.989,2.989,2.989,2.989,0
2020-08-24,3.002,3.002,3.002,3.002,0
2020-08-25,3.006,3.006,3.006,3.006,0
2020-08-26,3.032,3.032,3.032,3.032,0
2020-08-27,3.038,3.038,3.038,3.038,0
2020-08-28,3.058,3.058,3.058,3.058,0
2020-08-31,3.105,3.105,3.105,3.105,0
2020-09-01,3.074,3.074,3.074,3.074,0
2020-09-02,3.069,3.069,3.069,3.069,0
2020-09-03,3.024,3.024,3.024,3.024,0
2020-09-04,3.1015,3.1015,3.1015,3.1015,15
2020-09-08,3.0645,3.0645,3.0645,3.0645,0
2020-09-09,3.0895,3.0895,3.0895,3.0895,0
2020-09-10,3.036,3.036,3.036,3.036,0
2020-09-11,3.073,3.073,3.073,3.073,0
2020-09-14,3.1015,3.1015,3.1015,3.1015,2
2020-09-15,3.0955,3.0955,3.0955,3.0955,0
2020-09-16,3.0905,3.0905,3.0905,3.0905,5
2020-09-17,3.0925,3.0925,3.0925,3.0925,0
2020-09-18,3.122,3.122,3.122,3.122,0
2020-09-21,3.0355,3.0355,3.0355,3.0355,8
2020-09-22,3.066,3.066,3.066,3.066,0
2020-09-23,3.011,3.011,3.011,3.011,2
2020-09-24,2.9875,2.9875,2.9875,2.9875,0
2020-09-25,2.9945,2.9945,2.9945,2.9945,1
2020-09-28,3.021,3.021,3.021,3.021,0
2020-09-29,3.0155,3.0155,3.0155,3.0155,0
2020-09-30,3.064,3.064,3.064,3.064,0
2020-10-01,2.903,2.903,2.903,2.903,2
2020-10-02,3.012,3.012,3.012,3.012,0
2020-10-05,3.0035,3.0035,3.0035,3.0035,0
2020-10-06,3.01,3.01,3.01,3.01,0
2020-10-07,3.0715,3.0715,3.0715,3.0715,0
2020-10-08,3.068,3.068,3.068,3.068,1
2020-10-09,3.103,3.103,3.103,3.103,0
2020-10-12,3.0975,3.0975,3.0975,3.0975,0
2020-10-13,3.082,3.082,3.082,3.082,0
2020-10-14,3.091,3.091,3.091,3.091,0
2020-10-15,3.1145,3.1145,3.1145,3.1145,0
