Date,open,high,low,close,volume
2015-06-15,64.73,64.73,64.73,64.73,0
2015-06-16,65.81,65.81,65.81,65.81,0
2015-06-17,65.63,65.63,65.63,65.63,0
2015-06-18,65.85,65.85,65.85,65.85,0
2015-06-19,65.07,65.07,65.07,65.07,0
2015-06-22,65.25,65.25,65.25,65.25,0
2015-06-23,65.14,65.14,65.14,65.14,0
2015-06-24,65.23,65.23,65.23,65.23,0
2015-06-25,65.87,65.87,65.87,65.87,0
2015-06-26,66.84,66.84,66.84,66.84,0
2015-06-29,66.59,66.59,66.59,66.59,0
2015-06-30,66.89,66.89,66.89,66.89,0
2015-07-01,67.0,67.0,67.0,67.0,0
2015-07-02,66.6,66.6,66.6,66.6,0
2015-07-06,66.26,66.26,66.26,66.26,0
2015-07-07,65.75,65.75,65.75,65.75,0
2015-07-08,65.49,65.49,65.49,65.49,0
2015-07-09,66.09,66.09,66.09,66.09,0
2015-07-10,66.17,66.17,66.17,66.17,0
2015-07-13,66.21,66.21,66.21,66.21,0
2015-07-14,66.55,66.55,66.55,66.55,0
2015-07-15,65.39,65.39,65.39,65.39,0
2015-07-16,65.36,65.36,65.36,65.36,0
2015-07-17,65.35,65.35,65.35,65.35,0
2015-07-20,65.16,65.16,65.16,65.16,0
2015-07-21,64.83,64.83,64.83,64.83,0
2015-07-22,64.66,64.66,64.66,64.66,0
2015-07-23,64.8,64.8,64.8,64.8,0
2015-07-24,64.83,64.83,64.83,64.83,0
2015-07-27,64.52,64.52,64.52,64.52,0
2015-07-28,64.73,64.73,64.73,64.73,0
2015-07-29,64.3,64.3,64.3,64.3,0
2015-07-30,64.2,64.2,64.2,64.2,0
2015-07-31,64.6,64.6,64.6,64.6,0
2015-08-03,64.23,64.23,64.23,64.23,0
2015-08-04,63.84,63.84,63.84,63.84,0
2015-08-05,63.84,63.84,63.84,63.84,0
2015-08-06,63.3,63.3,63.3,63.3,1
2015-08-07,63.12,63.88,63.02,63.88,10
2015-08-10,63.34,63.34,63.34,63.34,0
2015-08-11,63.12,63.12,63.12,63.12,0
2015-08-12,64.34,64.34,64.34,64.34,0
2015-08-13,64.39,64.39,64.39,64.39,0
2015-08-14,64.64,64.64,64.64,64.64,0
2015-08-17,65.19,65.19,65.19,65.19,0
2015-08-18,65.26,65.26,65.26,65.26,0
2015-08-19,65.4,65.4,65.4,65.4,0
2015-08-20,65.87,65.87,65.87,65.87,0
2015-08-21,65.82,65.82,65.82,65.82,0
2015-08-24,64.3,64.3,64.3,64.3,0
2015-08-25,63.24,63.24,63.24,63.24,0
2015-08-26,63.35,63.35,63.35,63.35,0
2015-08-27,64.14,64.14,64.14,64.14,0
2015-08-28,63.66,63.66,63.66,63.66,0
2015-08-31,63.43,63.43,63.43,63.43,0
2015-09-01,62.6,62.6,62.6,62.6,0
2015-09-02,62.52,62.52,62.52,62.52,0
2015-09-03,62.56,62.56,62.56,62.56,0
2015-09-04,62.51,62.51,62.51,62.51,0
2015-09-08,62.79,62.79,62.79,62.79,0
2015-09-09,62.81,62.81,62.81,62.81,0
2015-09-10,63.21,63.21,63.21,63.21,0
2015-09-11,63.51,63.51,63.51,63.51,0
2015-09-14,62.94,62.94,62.94,62.94,0
2015-09-15,62.96,62.96,62.96,62.96,0
2015-09-16,62.81,62.81,62.81,62.81,0
2015-09-17,62.71,62.71,62.71,62.71,0
2015-09-18,62.37,62.74,62.37,62.74,5
2015-09-21,62.72,62.72,62.72,62.72,1
2015-09-22,62.72,62.72,62.72,62.72,4
2015-09-23,62.55,62.59,62.55,62.59,12
2015-09-24,62.57,62.81,62.51,62.81,9
2015-09-25,62.81,62.81,62.81,62.81,0
2015-09-28,62.81,62.81,62.81,62.81,2
2015-09-29,63.0,63.0,63.0,63.0,0
2015-09-30,63.22,63.22,63.22,63.22,0
