Date,open,high,low,close,volume
1998-06-09,77.0,77.0,77.0,77.0,0
1998-06-10,77.0,77.0,77.0,77.0,0
1998-06-11,76.6,76.6,76.6,76.6,0
1998-06-12,76.6,76.6,76.6,76.6,0
1998-06-15,76.6,76.6,76.5,76.6,0
1998-06-16,76.0,76.0,76.0,76.0,0
1998-06-17,75.5,75.5,75.5,75.5,0
1998-06-18,74.65,74.65,74.6,74.65,0
1998-06-19,74.3,74.45,74.0,74.3,0
1998-06-22,74.45,74.45,74.45,74.45,0
1998-06-23,74.05,74.05,73.8,73.9,0
1998-06-24,74.45,74.45,74.25,74.25,0
1998-06-25,74.15,74.15,74.15,74.15,0
1998-06-26,73.5,73.5,73.5,73.5,0
1998-06-29,74.75,74.925,74.75,74.925,0
1998-06-30,74.9,74.9,74.5,74.5,0
1998-07-01,73.85,73.85,73.6,73.85,0
1998-07-02,74.05,74.05,74.05,74.05,0
1998-07-06,74.6,74.6,74.25,74.35,0
1998-07-07,74.0,74.05,73.75,74.0,0
1998-07-08,73.9,74.3,73.9,74.3,0
1998-07-09,74.25,74.25,74.15,74.25,0
1998-07-10,73.9,73.9,73.9,73.9,0
1998-07-13,73.25,73.25,72.4,72.65,0
1998-07-14,72.65,72.95,72.65,72.95,0
1998-07-15,72.85,72.85,72.6,72.6,0
1998-07-16,72.75,72.9,72.7,72.7,0
1998-07-17,72.9,72.9,72.7,72.7,0
1998-07-20,72.6,72.6,72.4,72.475,0
1998-07-21,72.5,72.5,72.0,72.5,0
1998-07-22,73.0,73.4,73.0,73.4,0
1998-07-23,72.85,72.9,72.65,72.9,0
1998-07-24,72.8,72.9,72.4,72.9,0
1998-07-27,72.6,72.75,72.6,72.75,0
1998-07-28,72.05,72.1,72.05,72.1,0
1998-07-29,72.25,72.25,72.05,72.25,0
1998-07-30,72.0,72.15,71.2,71.2,0
1998-07-31,71.25,71.25,70.5,70.5,0
1998-08-03,70.0,70.0,69.15,69.75,0
1998-08-04,70.1,70.65,70.1,70.65,0
1998-08-05,71.3,72.15,71.3,72.05,0
1998-08-06,72.55,72.55,72.2,72.2,0
1998-08-07,72.3,73.2,72.1,72.8,0
1998-08-10,73.0,73.2,72.1,72.6,0
1998-08-11,72.4,72.4,71.6,71.8,0
1998-08-12,71.7,71.7,70.8,71.025,0
1998-08-13,71.05,71.65,71.05,71.65,0
1998-08-14,71.3,71.5,71.3,71.4,0
1998-08-17,70.9,70.9,70.4,70.425,0
1998-08-18,70.3,71.9,70.3,71.9,0
1998-08-19,71.75,71.75,70.75,71.15,0
1998-08-20,70.75,70.75,70.5,70.75,0
1998-08-21,70.9,70.9,70.25,70.25,0
1998-08-24,70.5,70.5,69.7,69.95,0
1998-08-25,70.1,70.5,69.525,69.525,0
1998-08-26,69.6,70.25,69.6,69.9,0
1998-08-27,70.0,70.9,69.9,70.325,0
1998-08-28,70.8,71.25,70.8,70.8,0
1998-08-31,70.4,70.55,69.925,69.925,0
1998-09-01,69.4,69.95,69.4,69.75,0
1998-09-02,69.75,69.85,69.1,69.15,0
1998-09-03,68.95,69.3,68.5,69.05,0
1998-09-04,69.0,69.1,68.6,68.7,0
1998-09-08,68.6,68.75,68.5,68.7,0
1998-09-09,68.55,69.05,68.3,68.7,0
1998-09-10,68.9,69.8,68.9,69.2,0
1998-09-11,69.6,70.7,69.6,70.7,0
1998-09-14,71.0,71.7,70.75,70.85,0
1998-09-15,70.6,71.25,70.5,71.25,0
1998-09-16,71.6,71.75,70.95,70.95,0
1998-09-17,71.0,71.75,70.95,71.5,0
1998-09-18,71.6,72.4,71.6,72.1,0
1998-09-21,72.0,72.4,71.975,71.975,0
