Date,open,high,low,close,volume
2005-04-18,62.0,62.5,61.95,61.95,13
2005-04-19,62.0,62.0,61.8,62.0,0
2005-04-20,61.95,61.95,61.95,61.95,0
2005-04-21,62.0,62.0,62.0,62.0,2
2005-04-22,62.0,62.05,62.0,62.0,19
2005-04-25,62.0,62.1,61.9,62.1,5
2005-04-26,62.1,62.15,62.1,62.15,3
2005-04-27,62.15,62.475,62.15,62.475,17
2005-04-28,62.25,62.375,62.25,62.375,13
2005-04-29,62.4,62.475,62.4,62.475,15
2005-05-16,62.0,62.225,62.0,62.2,2
2005-05-17,61.9,62.0,61.9,62.0,10
2005-05-18,61.7,61.7,61.1,61.35,12
2005-05-19,61.0,61.15,61.0,61.15,11
2005-05-20,61.0,61.0,60.2,60.5,23
2005-05-23,60.0,60.1,59.6,59.95,6
2005-05-24,59.525,59.675,59.5,59.675,4
2005-05-25,59.7,60.1,59.7,60.1,2
2005-05-26,60.0,60.3,60.0,60.1,3
2005-05-27,59.975,60.4,59.975,60.4,1
2005-05-31,60.5,60.6,60.0,60.5,12
2005-06-01,60.35,60.35,60.35,60.35,0
2005-06-02,59.325,59.7,59.325,59.7,0
2005-06-03,59.5,59.9,59.5,59.9,9
2005-06-06,60.3,60.45,60.3,60.45,1
2005-06-07,60.75,61.05,60.75,61.05,3
2005-06-08,61.1,61.5,61.1,61.5,1
2005-06-09,61.5,61.5,60.8,61.0,12
2005-06-10,61.125,61.125,60.7,60.8,4
2005-06-13,60.525,61.0,60.525,60.525,2
2005-06-14,60.6,60.6,60.35,60.35,5
2005-06-15,59.8,59.95,59.8,59.95,8
2005-06-16,59.8,59.8,59.75,59.75,6
2005-06-17,59.5,59.7,59.5,59.5,2
2005-06-20,59.3,59.3,59.3,59.3,0
2005-06-21,59.0,59.025,59.0,59.0,2
2005-06-22,58.5,58.9,58.5,58.6,11
2005-06-23,58.55,58.55,58.2,58.55,5
2005-06-24,58.2,58.35,57.5,58.2,28
2005-06-27,59.0,59.1,58.6,59.0,7
2005-06-28,57.6,58.975,57.6,57.6,12
2005-06-29,57.9,57.9,57.4,57.9,3
2005-06-30,58.15,58.475,57.95,58.15,12
2005-07-01,58.7,58.8,58.5,58.7,6
2005-07-05,58.95,58.95,58.65,58.95,14
2005-07-06,58.95,58.95,58.95,58.95,0
2005-07-07,58.6,58.6,58.25,58.6,6
2005-07-08,58.25,58.6,58.25,58.25,8
2005-07-11,58.15,58.35,58.15,58.15,1
2005-07-12,57.925,58.05,57.825,57.925,2
2005-07-13,58.1,58.1,57.75,58.1,4
2005-07-14,58.3,58.3,58.0,58.3,2
2005-07-15,57.9,57.9,57.9,57.9,0
2005-07-18,59.75,59.75,58.4,59.75,18
2005-07-19,59.7,59.7,59.45,59.7,13
2005-07-20,60.0,60.0,59.6,60.0,43
2005-07-21,60.0,60.05,59.95,60.0,43
2005-07-22,60.05,60.1,59.9,60.05,30
2005-07-25,60.25,60.25,59.9,60.25,45
2005-07-26,60.4,60.45,60.0,60.4,91
2005-07-27,60.7,60.7,60.15,60.7,143
2005-07-28,61.075,61.1,60.9,61.075,164
2005-07-29,61.0,61.2,60.9,61.0,23
2005-08-01,61.45,61.45,60.85,61.45,22
2005-08-02,61.4,61.6,61.2,61.4,25
2005-08-03,61.35,61.5,61.0,61.35,46
2005-08-04,61.5,61.55,61.1,61.5,26
2005-08-05,61.375,61.375,61.0,61.375,43
2005-08-08,61.0,61.1,60.9,61.0,4
2005-08-09,60.575,60.725,60.5,60.575,8
2005-08-10,60.2,60.7,60.1,60.2,46
2005-08-11,60.375,60.4,60.05,60.375,30
2005-08-12,60.75,60.75,60.2,60.75,95
2005-08-15,61.7,61.7,60.9,61.7,21
2005-08-16,61.8,61.9,61.35,61.8,46
2005-08-17,61.3,61.95,61.1,61.3,31
2005-08-18,61.225,61.5,61.025,61.225,27
2005-08-19,61.325,61.7,61.1,61.325,220
2005-08-22,61.275,61.475,61.2,61.275,59
2005-08-23,61.05,61.275,61.0,61.05,44
2005-08-24,61.05,61.15,60.8,61.05,36
2005-08-25,61.675,61.8,61.25,61.675,39
2005-08-26,61.625,61.8,61.25,61.625,61
2005-08-29,61.275,61.7,61.2,61.275,26
2005-08-30,60.875,61.4,60.75,60.875,10
2005-08-31,60.85,61.35,60.8,60.85,12
2005-09-01,60.0,60.6,59.8,60.0,21
2005-09-02,60.075,60.3,59.75,60.075,22
2005-09-06,60.575,60.8,59.85,60.575,16
2005-09-07,60.6,60.6,60.4,60.6,12
2005-09-08,61.2,61.5,60.5,61.2,30
2005-09-09,61.7,61.9,61.2,61.7,17
2005-09-12,61.85,61.95,61.6,61.85,48
2005-09-13,62.575,62.75,61.75,62.575,95
2005-09-14,62.4,62.6,62.25,62.4,26
2005-09-15,62.775,62.85,62.35,62.775,6
2005-09-16,62.45,62.9,62.4,62.45,67
2005-09-19,62.525,62.65,62.25,62.525,54
2005-09-20,63.25,63.3,62.5,63.25,152
2005-09-21,63.475,63.7,63.0,63.475,54
2005-09-22,63.625,63.8,63.05,63.625,37
2005-09-23,63.875,63.9,63.7,63.875,20
2005-09-26,64.175,64.2,63.8,64.175,121
2005-09-27,63.875,64.2,63.75,63.875,173
2005-09-28,64.575,64.65,63.65,64.575,83
2005-09-29,64.55,64.7,64.4,64.55,16
2005-09-30,64.25,64.35,63.9,64.1,106
2005-10-03,65.875,66.05,64.6,65.875,98
2005-10-04,66.7,66.8,65.55,66.7,100
2005-10-05,66.8,66.85,66.0,66.8,42
2005-10-06,66.25,66.5,65.5,66.25,189
2005-10-07,67.25,67.3,66.2,67.25,50
2005-10-10,67.1,67.4,66.9,67.1,38
2005-10-11,66.25,66.7,66.1,66.25,43
2005-10-12,65.2,66.0,65.2,65.2,34
2005-10-13,65.3,65.5,65.0,65.3,55
2005-10-14,64.5,65.15,64.5,64.5,73
2005-10-17,63.875,64.6,63.75,63.875,80
2005-10-18,64.325,64.4,63.55,64.325,118
2005-10-19,65.125,65.2,64.0,65.125,82
2005-10-20,64.725,64.75,64.1,64.725,42
2005-10-21,65.35,65.4,65.075,65.35,59
2005-10-24,65.6,65.6,64.9,65.6,178
2005-10-25,65.625,65.775,65.3,65.625,90
2005-10-26,65.2,65.8,65.0,65.2,102
