Date,open,high,low,close,volume
2004-01-05,0.7434,0.7434,0.7434,0.7434,0
2004-01-06,0.7454,0.7454,0.7454,0.7454,0
2004-01-07,0.7451,0.7451,0.7451,0.7451,0
2004-01-08,0.7516,0.7516,0.7516,0.7516,0
2004-01-09,0.7541,0.7541,0.7541,0.7541,0
2004-01-12,0.7557,0.7557,0.7557,0.7557,0
2004-01-13,0.7531,0.7531,0.7531,0.7531,0
2004-01-14,0.7555,0.7555,0.7555,0.7555,0
2004-01-15,0.7365,0.7365,0.7365,0.7365,0
2004-01-16,0.7572,0.7572,0.7572,0.7572,0
2004-01-20,0.7735,0.7735,0.7735,0.7735,0
2004-01-21,0.7668,0.7668,0.7668,0.7668,0
2004-01-22,0.7782,0.7782,0.7782,0.7782,0
2004-01-23,0.7528,0.7528,0.7528,0.7528,0
2004-01-26,0.7545,0.7545,0.7545,0.7545,0
2004-01-27,0.7514,0.7514,0.7514,0.7514,0
2004-01-28,0.7387,0.7387,0.7387,0.7387,0
2004-01-29,0.7316,0.7316,0.7316,0.7316,0
2004-01-30,0.7381,0.7381,0.7381,0.7381,0
2004-02-02,0.7538,0.7538,0.7538,0.7538,0
2004-02-03,0.7402,0.7402,0.7402,0.7402,0
2004-02-04,0.7286,0.7286,0.7286,0.7286,0
2004-02-05,0.731,0.731,0.731,0.731,0
2004-02-06,0.7193,0.7193,0.7193,0.7193,0
2004-02-09,0.7308,0.7308,0.7308,0.7308,0
2004-02-10,0.7452,0.7452,0.7452,0.7452,0
2004-02-11,0.7494,0.7494,0.7494,0.7494,0
2004-02-12,0.7537,0.7537,0.7537,0.7537,2
2004-02-13,0.7633,0.7633,0.7633,0.7633,2
2004-02-17,0.7656,0.7656,0.7656,0.7656,0
2004-02-18,0.7602,0.7602,0.7602,0.7602,0
2004-02-19,0.7628,0.7628,0.7628,0.7628,0
2004-02-20,0.761,0.761,0.7546,0.7546,4
2004-02-23,0.7531,0.7531,0.7531,0.7531,0
2004-02-24,0.7558,0.7558,0.7558,0.7558,0
2004-02-25,0.7677,0.7677,0.7677,0.7677,0
2004-02-26,0.7736,0.7736,0.7736,0.7736,0
2004-02-27,0.7824,0.7824,0.7824,0.7824,0
2004-03-01,0.7985,0.7985,0.7985,0.7985,0
2004-03-02,0.795,0.795,0.795,0.795,0
2004-03-03,0.7748,0.7748,0.7748,0.7748,0
2004-03-04,0.7903,0.7903,0.7903,0.7903,0
2004-03-05,0.7979,0.7979,0.7979,0.7979,0
2004-03-08,0.7803,0.7803,0.7803,0.7803,0
2004-03-09,0.7875,0.7875,0.78,0.78,1
2004-03-10,0.7852,0.7852,0.7852,0.7852,0
2004-03-11,0.7929,0.7929,0.7929,0.7929,0
2004-03-12,0.7857,0.7857,0.7857,0.7857,0
2004-03-15,0.8045,0.8045,0.8045,0.8045,0
2004-03-16,0.7998,0.7998,0.7998,0.7998,0
2004-03-17,0.8215,0.8215,0.8215,0.8215,0
2004-03-18,0.818,0.818,0.818,0.818,0
