Date,open,high,low,close,volume
2002-05-28,67.75,67.75,67.75,67.75,0
2002-05-29,65.8,65.8,65.8,65.8,0
2002-05-30,66.1,66.1,66.1,66.1,0
2002-05-31,66.15,66.15,65.45,65.45,0
2002-06-03,66.3,66.3,66.3,66.3,0
2002-06-04,66.85,66.85,66.85,66.85,0
2002-06-05,65.25,65.25,65.25,65.25,0
2002-06-06,66.3,66.3,66.3,66.3,0
2002-06-07,64.5,64.5,64.5,64.5,0
2002-06-10,66.1,66.1,65.45,65.45,2
2002-06-11,65.5,65.5,65.5,65.5,0
2002-06-12,65.5,65.5,65.5,65.5,0
2002-06-13,65.5,65.5,65.5,65.5,0
2002-06-14,65.5,65.5,65.5,65.5,3
2002-06-17,65.7,65.7,65.7,65.7,2
2002-06-18,65.85,65.85,65.85,65.85,1
2002-06-19,65.85,65.85,65.65,65.65,4
2002-06-20,65.5,65.625,65.5,65.625,4
2002-06-21,65.45,65.45,65.45,65.45,1
2002-06-24,65.3,65.45,65.3,65.45,1
2002-06-25,65.9,65.9,65.9,65.9,0
2002-06-26,65.7,65.7,65.7,65.7,0
2002-06-27,65.5,65.65,65.5,65.65,5
2002-06-28,65.6,65.6,65.4,65.4,57
2002-07-01,65.3,65.95,65.3,65.95,97
2002-07-02,65.95,66.15,65.8,65.8,105
2002-07-03,65.85,65.875,65.7,65.8,58
2002-07-05,65.9,66.0,65.9,66.0,26
2002-07-08,66.0,66.025,65.55,65.55,44
2002-07-09,65.275,65.5,65.2,65.475,223
2002-07-10,65.2,65.2,65.15,65.2,24
2002-07-11,65.3,65.95,65.3,65.85,291
2002-07-12,65.75,66.05,65.75,65.8,121
2002-07-15,65.65,66.0,65.45,65.825,118
2002-07-16,65.8,65.9,65.725,65.75,47
2002-07-17,66.05,66.2,65.85,66.125,150
2002-07-18,66.1,66.225,65.9,66.175,151
2002-07-19,66.1,66.2,65.95,66.2,32
2002-07-22,66.05,66.35,65.95,66.075,102
2002-07-23,66.1,66.1,65.65,65.65,56
2002-07-24,65.675,65.7,65.5,65.5,51
2002-07-25,65.475,66.55,65.475,66.05,235
2002-07-26,66.1,66.2,65.95,66.15,23
2002-07-29,66.15,66.3,65.925,66.0,43
2002-07-30,66.0,66.0,65.775,66.0,17
2002-07-31,66.1,66.1,65.95,66.025,30
2002-08-01,66.0,66.05,65.8,65.975,47
2002-08-02,66.05,66.25,65.9,66.225,38
2002-08-05,66.25,66.475,66.0,66.075,94
2002-08-06,66.1,66.85,65.9,66.725,161
2002-08-07,66.7,66.7,66.4,66.575,113
2002-08-08,66.35,66.55,66.35,66.55,16
2002-08-09,66.4,66.95,66.4,66.825,126
2002-08-12,66.825,67.675,66.825,67.6,488
2002-08-13,67.9,68.0,67.55,67.6,609
2002-08-14,67.5,67.65,67.45,67.475,136
2002-08-15,67.5,67.8,67.4,67.45,130
2002-08-16,67.45,67.65,67.425,67.575,298
2002-08-19,67.65,67.85,67.6,67.7,115
2002-08-20,67.675,67.675,67.45,67.475,264
2002-08-21,67.5,67.65,67.425,67.625,183
2002-08-22,67.7,68.1,67.6,68.05,1526
2002-08-23,67.9,67.9,67.225,67.675,766
2002-08-26,67.55,67.6,67.225,67.525,261
2002-08-27,67.5,67.5,67.3,67.425,208
2002-08-28,67.35,67.65,67.25,67.65,287
2002-08-29,67.225,67.6,67.225,67.575,475
2002-08-30,67.5,67.9,67.25,67.75,249
2002-09-03,67.5,67.5,67.225,67.4,553
2002-09-04,67.3,67.375,67.2,67.275,489
2002-09-05,67.15,67.8,67.0,67.775,414
2002-09-06,67.65,67.75,67.45,67.625,529
2002-09-09,67.55,67.75,67.45,67.65,514
2002-09-10,67.725,68.0,67.7,67.875,145
2002-09-11,67.925,68.325,67.925,68.275,423
2002-09-12,68.45,68.775,68.4,68.725,478
2002-09-13,68.825,69.2,68.625,69.175,1101
2002-09-16,69.0,69.1,68.45,68.525,976
2002-09-17,68.5,69.075,68.45,68.95,332
2002-09-18,68.95,69.05,68.85,69.025,482
2002-09-19,68.9,69.2,68.775,69.175,646
2002-09-20,68.95,69.0,68.7,68.95,318
2002-09-23,68.95,68.95,68.2,68.475,422
2002-09-24,68.3,68.35,68.1,68.3,278
2002-09-25,68.35,68.75,68.125,68.725,368
2002-09-26,68.6,68.6,67.85,68.0,617
2002-09-27,67.8,68.05,67.75,68.025,782
2002-09-30,68.0,68.275,67.825,68.025,206
2002-10-01,67.85,67.85,67.6,67.625,159
2002-10-02,67.5,67.6,67.3,67.4,878
2002-10-03,67.25,67.65,67.075,67.6,1088
2002-10-04,67.45,67.8,67.35,67.475,175
2002-10-07,67.35,67.6,67.25,67.4,196
2002-10-08,67.35,68.325,67.35,68.2,1085
2002-10-09,68.2,68.4,67.65,67.8,872
2002-10-10,67.8,68.3,67.8,68.25,880
2002-10-11,68.35,68.9,68.35,68.725,1369
2002-10-14,68.6,69.25,68.5,69.225,514
2002-10-15,69.225,69.425,69.05,69.375,529
2002-10-16,69.4,69.7,69.25,69.45,692
2002-10-17,69.35,69.35,69.05,69.2,736
2002-10-18,68.9,69.15,68.85,68.925,464
2002-10-21,69.5,69.95,69.4,69.625,1418
2002-10-22,69.5,69.9,68.9,69.825,1707
2002-10-23,69.8,69.8,69.5,69.775,821
2002-10-24,69.425,69.75,69.4,69.7,1779
2002-10-25,69.45,69.8,69.45,69.775,1040
2002-10-28,69.7,69.9,69.5,69.85,1254
2002-10-29,69.675,69.675,69.05,69.225,903
2002-10-30,69.05,69.45,68.95,69.425,622
2002-10-31,69.4,69.9,69.0,69.875,1322
2002-11-01,69.5,69.75,69.25,69.725,812
2002-11-04,69.5,69.65,69.475,69.6,960
2002-11-05,69.45,69.75,69.375,69.675,462
2002-11-06,69.6,70.0,69.575,69.975,381
2002-11-07,69.9,70.6,69.8,70.525,1416
2002-11-08,70.45,70.6,70.125,70.55,997
2002-11-11,70.35,70.4,70.05,70.325,677
2002-11-12,70.25,70.4,70.0,70.075,866
2002-11-13,70.0,70.15,69.85,70.075,1169
2002-11-14,70.05,70.25,70.025,70.2,518
2002-11-15,69.975,70.225,69.9,70.15,609
2002-11-18,70.525,70.85,70.4,70.8,1272
2002-11-19,70.5,70.75,70.25,70.65,938
2002-11-20,70.7,70.85,70.425,70.825,979
2002-11-21,70.725,70.95,70.4,70.925,962
2002-11-22,70.725,71.25,70.675,71.225,1828
2002-11-25,71.125,71.6,70.95,71.55,2704
2002-11-26,71.5,71.85,71.5,71.825,2532
