Date,open,high,low,close,volume
2006-12-15,8.55,8.57,8.51,8.57,76
2006-12-18,8.55,8.55,8.45,8.45,7
2006-12-19,8.45,8.463,8.45,8.463,7
2006-12-20,8.45,8.45,8.374,8.374,1
2006-12-21,8.416,8.416,8.416,8.416,17
2006-12-22,8.295,8.295,8.295,8.295,0
2006-12-26,8.143,8.143,8.143,8.143,21
2006-12-27,8.05,8.075,8.05,8.075,106
2006-12-28,8.14,8.14,8.14,8.14,173
2006-12-29,8.238,8.238,8.238,8.238,37
2007-01-03,8.145,8.145,8.145,8.145,700
2007-01-04,8.17,8.17,8.135,8.135,16
2007-01-05,8.07,8.127,8.07,8.127,278
2007-01-08,8.2,8.217,8.157,8.217,22
2007-01-09,8.334,8.334,8.334,8.334,31
2007-01-10,8.326,8.326,8.326,8.326,22
2007-01-11,8.25,8.25,8.117,8.117,451
2007-01-12,8.117,8.272,8.117,8.272,1
2007-01-16,8.25,8.283,8.25,8.283,2
2007-01-17,8.12,8.12,8.107,8.107,601
2007-01-18,8.15,8.15,8.1,8.136,48
2007-01-19,8.26,8.31,8.14,8.31,11
2007-01-22,8.395,8.395,8.395,8.395,117
2007-01-23,8.22,8.337,8.22,8.337,131
2007-01-24,8.169,8.169,8.169,8.169,55
2007-01-25,8.0,8.01,8.0,8.01,31
2007-01-26,8.186,8.186,8.186,8.186,1
2007-01-29,8.149,8.23,8.149,8.149,37
2007-01-30,8.316,8.316,8.316,8.316,144
2007-01-31,8.236,8.236,8.236,8.236,8
2007-02-01,8.161,8.161,8.161,8.161,10
2007-02-02,8.134,8.134,8.134,8.134,89
2007-02-05,8.156,8.156,8.156,8.156,12
2007-02-06,8.184,8.184,8.184,8.184,13
2007-02-07,8.276,8.276,8.276,8.276,3
2007-02-08,8.29,8.417,8.29,8.417,217
2007-02-09,8.407,8.502,8.407,8.502,10
2007-02-12,8.295,8.36,8.295,8.295,28
2007-02-13,8.39,8.39,8.39,8.39,42
2007-02-14,8.345,8.345,8.345,8.345,0
2007-02-15,8.382,8.382,8.382,8.382,115
2007-02-16,8.398,8.398,8.398,8.398,4
2007-02-20,8.437,8.437,8.437,8.437,0
2007-02-21,8.37,8.37,8.37,8.37,3
2007-02-22,8.33,8.406,8.33,8.406,3
2007-02-23,8.468,8.468,8.468,8.468,0
2007-02-26,8.478,8.478,8.459,8.459,6
2007-02-27,8.5,8.5,8.423,8.423,20
2007-02-28,8.42,8.42,8.36,8.36,4
2007-03-01,8.3,8.38,8.3,8.38,212
2007-03-02,8.379,8.379,8.379,8.379,751
2007-03-05,8.355,8.355,8.355,8.355,0
2007-03-06,8.513,8.513,8.513,8.513,247
2007-03-07,8.46,8.479,8.46,8.479,43
2007-03-08,8.459,8.459,8.459,8.459,32
2007-03-09,8.364,8.364,8.364,8.364,0
2007-03-12,8.312,8.312,8.312,8.312,40
2007-03-13,8.36,8.36,8.332,8.332,201
2007-03-14,8.416,8.416,8.416,8.416,2
2007-03-15,8.455,8.455,8.36,8.38,35
2007-03-16,8.38,8.38,8.31,8.356,31
2007-03-19,8.359,8.359,8.359,8.359,18
2007-03-20,8.37,8.375,8.35,8.375,5
2007-03-21,8.46,8.522,8.46,8.522,117
2007-03-22,8.537,8.6,8.537,8.596,39
2007-03-23,8.602,8.602,8.602,8.602,300
2007-03-26,8.61,8.61,8.61,8.61,0
2007-03-27,8.7,8.7,8.7,8.7,450
2007-03-28,8.8,8.8,8.735,8.735,120
2007-03-29,8.735,8.735,8.716,8.716,50
2007-03-30,8.725,8.775,8.725,8.775,21
2007-04-02,8.815,8.815,8.754,8.754,1
2007-04-03,8.7,8.7,8.641,8.641,3
2007-04-04,8.733,8.733,8.733,8.733,359
2007-04-05,8.77,8.855,8.77,8.855,317
2007-04-09,8.88,8.94,8.861,8.861,127
2007-04-10,8.973,8.973,8.973,8.973,0
2007-04-11,8.95,8.966,8.95,8.966,9
2007-04-12,9.018,9.018,9.018,9.018,552
2007-04-13,8.98,8.98,8.94,8.94,5
2007-04-16,8.79,8.828,8.79,8.828,563
2007-04-17,8.749,8.749,8.749,8.749,103
2007-04-18,8.79,8.797,8.79,8.797,7
2007-04-19,8.825,8.839,8.825,8.839,24
2007-04-20,8.75,8.8,8.75,8.762,28
2007-04-23,8.907,8.907,8.907,8.907,49
2007-04-24,8.95,8.956,8.95,8.956,980
2007-04-25,8.956,9.026,8.956,9.026,1
2007-04-26,8.98,8.98,8.947,8.947,168
2007-04-27,8.95,9.041,8.95,9.041,113
2007-04-30,9.02,9.056,9.02,9.056,1
2007-05-01,9.03,9.03,8.982,8.982,226
2007-05-02,8.956,9.025,8.956,8.985,270
