Date,open,high,low,close,volume
2002-09-20,334.0,334.0,331.0,331.0,1
2002-09-23,330.0,330.0,330.0,330.0,0
2002-09-24,329.55,329.55,329.55,329.55,0
2002-09-25,322.0,325.1,322.0,325.1,1
2002-09-26,321.0,321.0,319.4,319.4,1
2002-09-27,315.1,315.1,315.1,315.1,0
2002-09-30,319.0,319.0,319.0,319.0,0
2002-10-01,318.5,318.5,318.5,318.5,0
2002-10-02,326.25,326.25,326.25,326.25,0
2002-10-03,318.0,318.0,318.0,318.0,0
2002-10-04,316.0,316.0,316.0,316.0,0
2002-10-07,315.5,315.5,315.5,315.5,0
2002-10-08,316.6,316.6,316.6,316.6,0
2002-10-09,323.0,323.0,323.0,323.0,0
2002-10-10,323.0,323.0,320.0,320.0,1
2002-10-11,321.4,321.4,321.4,321.4,0
2002-10-14,318.5,318.5,318.5,318.5,0
2002-10-15,321.5,321.5,321.5,321.5,0
2002-10-16,320.0,320.0,319.5,319.5,8
2002-10-17,321.5,321.5,321.5,321.5,0
2002-10-18,319.0,319.0,319.0,319.0,0
2002-10-21,321.35,321.35,321.35,321.35,11
2002-10-22,322.0,322.0,322.0,322.0,0
2002-10-23,317.0,317.0,316.0,316.0,1
2002-10-24,310.5,310.5,310.5,310.5,3
2002-10-25,311.4,311.4,311.4,311.4,0
2002-10-28,314.0,314.0,314.0,314.0,0
2002-10-29,315.0,316.0,315.0,316.0,10
2002-10-30,314.0,314.0,312.5,312.5,1
2002-10-31,310.5,311.0,310.5,311.0,106
2002-11-01,310.25,310.25,310.25,310.25,0
2002-11-04,313.1,313.1,313.1,313.1,24
2002-11-05,314.5,315.65,314.5,315.65,5
2002-11-06,314.5,314.5,313.65,313.65,22
2002-11-07,308.0,309.4,308.0,309.4,7
2002-11-08,307.0,307.0,303.0,303.55,80
2002-11-11,283.0,289.55,283.0,289.55,14
2002-11-12,289.5,289.5,286.0,286.0,21
2002-11-13,286.0,286.0,286.0,286.0,113
2002-11-14,290.0,292.8,290.0,292.8,236
2002-11-15,290.5,292.0,290.5,291.35,80
2002-11-18,286.0,286.0,282.0,282.5,64
2002-11-19,276.0,277.7,271.0,277.7,289
2002-11-20,277.7,278.4,276.3,278.4,258
2002-11-21,279.8,280.5,275.2,278.8,751
2002-11-22,278.25,278.25,270.5,270.5,159
2002-11-25,261.0,265.75,261.0,262.0,319
2002-11-26,256.0,269.5,251.0,266.0,302
2002-11-27,266.5,268.0,264.5,266.0,132
2002-12-02,263.0,264.5,260.25,264.05,256
2002-12-03,262.0,264.0,262.0,263.0,97
2002-12-04,262.0,262.0,254.5,255.0,83
2002-12-05,255.0,255.0,243.5,248.2,169
2002-12-06,251.0,256.0,242.0,251.25,262
2002-12-09,250.5,250.5,246.0,249.0,160
2002-12-10,248.0,248.5,245.2,248.15,68
2002-12-11,245.0,246.0,243.25,245.0,100
2002-12-12,243.5,244.0,241.5,243.5,57
2002-12-13,244.0,244.0,239.5,239.65,65
2002-12-16,235.0,240.0,234.0,239.5,166
2002-12-17,240.0,243.0,236.25,243.0,134
2002-12-18,242.5,248.8,238.0,247.8,173
2002-12-19,247.8,247.8,238.5,239.6,97
2002-12-20,237.5,237.5,226.0,229.7,119
2002-12-23,225.0,235.0,224.0,230.0,65
2002-12-24,234.0,235.0,232.0,235.0,13
2002-12-26,235.75,235.75,228.0,234.0,41
2002-12-27,236.0,239.0,236.0,238.75,51
2002-12-30,234.0,239.5,234.0,239.0,93
2002-12-31,236.0,239.5,234.0,238.0,48
2003-01-02,234.5,239.8,232.0,239.8,67
2003-01-03,240.0,242.0,233.0,241.55,154
2003-01-06,243.0,246.5,242.0,244.95,166
2003-01-07,245.0,245.0,240.2,242.2,147
2003-01-08,244.0,259.8,243.0,259.0,366
2003-01-09,259.8,265.0,256.0,263.65,275
2003-01-10,266.0,269.8,265.0,269.3,193
2003-01-13,270.0,270.0,248.0,255.55,338
2003-01-14,254.0,255.0,243.0,250.0,266
2003-01-15,248.0,248.0,245.0,245.4,84
2003-01-16,245.0,250.5,244.0,250.5,74
2003-01-17,255.0,260.0,255.0,258.0,74
2003-01-21,263.0,269.0,261.0,264.0,90
2003-01-22,271.0,274.0,267.0,271.75,99
2003-01-23,274.0,274.0,265.0,269.0,477
2003-01-24,269.0,269.5,266.0,269.0,83
2003-01-27,268.0,268.0,263.5,266.35,75
2003-01-28,263.25,269.0,261.0,267.35,152
2003-01-29,265.0,270.0,263.0,268.95,149
2003-01-30,265.0,265.0,255.0,258.15,199
2003-01-31,257.0,262.0,255.5,259.0,293
2003-02-03,263.0,268.8,263.0,267.65,131
2003-02-04,270.0,271.0,267.0,268.0,410
2003-02-05,275.0,275.0,264.0,264.5,110
2003-02-06,264.5,264.5,250.2,252.65,354
2003-02-07,251.0,253.0,249.0,250.5,185
2003-02-10,248.5,253.9,248.5,251.05,130
2003-02-11,250.0,254.0,248.5,252.0,125
2003-02-12,252.0,259.8,252.0,253.55,260
2003-02-13,254.75,255.0,253.0,255.0,193
2003-02-14,254.5,258.0,252.25,254.0,235
2003-02-18,249.0,260.0,249.0,251.0,133
2003-02-19,252.0,255.0,252.0,255.0,111
2003-02-20,253.0,255.0,252.0,254.0,190
2003-02-21,252.0,254.0,247.0,250.5,219
2003-02-24,250.5,252.5,250.0,250.65,269
2003-02-25,251.5,254.0,247.5,251.5,413
2003-02-26,249.0,252.5,248.0,252.05,330
2003-02-27,245.0,245.0,241.0,244.0,327
2003-02-28,243.5,245.0,240.5,242.2,260
2003-03-03,245.0,245.0,236.0,237.65,78
2003-03-04,239.9,241.0,238.9,238.9,79
2003-03-05,238.0,238.0,238.0,238.0,7
2003-03-06,233.0,238.0,233.0,237.55,82
2003-03-07,237.55,237.55,237.55,237.55,0
2003-03-10,241.15,241.15,241.15,241.15,0
2003-03-11,242.6,242.6,242.6,242.6,0
2003-03-12,237.5,237.5,235.0,235.9,11
2003-03-13,232.5,233.5,225.0,233.5,12
2003-03-14,233.6,233.6,233.6,233.6,1
