Date,open,high,low,close,volume
2023-11-15,949.7,949.7,949.7,949.7,0
2023-11-16,950.6,950.6,950.6,950.6,0
2023-11-17,949.1,949.1,949.1,949.1,0
2023-11-20,972.5,972.5,972.5,972.5,0
2023-11-21,991.5,991.5,991.5,991.5,0
2023-11-22,977.2,977.2,977.2,977.2,0
2023-11-24,985.8,985.8,985.8,985.8,0
2023-11-27,972.2,972.2,972.2,972.2,0
2023-11-28,998.6,998.6,998.6,998.6,0
2023-11-29,990.7,990.7,990.7,990.7,0
2023-11-30,985.3,985.3,985.3,985.3,0
2023-12-01,986.0,986.0,986.0,986.0,0
2023-12-04,974.9,974.9,974.9,974.9,0
2023-12-05,956.4,956.4,956.4,956.4,0
2023-12-06,943.9,943.9,943.9,943.9,0
2023-12-07,962.8,962.8,962.8,962.8,0
2023-12-08,970.7,970.7,970.7,970.7,0
2023-12-11,965.8,965.8,965.8,965.8,0
2023-12-12,978.2,978.2,978.2,978.2,0
2023-12-13,970.9,970.9,970.9,970.9,0
2023-12-14,1015.0,1015.0,1015.0,1015.0,0
2023-12-15,1002.0,1002.0,1002.0,1002.0,0
2023-12-18,1003.7,1003.7,1003.7,1003.7,0
2023-12-19,1013.4,1013.4,1013.4,1013.4,0
2023-12-20,1022.7,1022.7,1022.7,1022.7,0
2023-12-21,1020.2,1020.2,1020.2,1020.2,0
2023-12-22,1035.7,1035.7,1035.7,1035.7,0
2023-12-26,1035.1,1035.1,1035.1,1035.1,0
2023-12-27,1054.3,1054.3,1054.3,1054.3,0
2023-12-28,1062.5,1062.5,1062.5,1062.5,0
2023-12-29,1048.7,1048.7,1048.7,1048.7,0
2024-01-02,1038.3,1038.3,1038.3,1038.3,0
2024-01-03,1027.4,1027.4,1027.4,1027.4,0
2024-01-04,1007.9,1007.9,1007.9,1007.9,0
2024-01-05,1013.2,1013.2,1013.2,1013.2,0
2024-01-08,999.7,999.7,999.7,999.7,0
2024-01-09,984.2,984.2,984.2,984.2,0
2024-01-10,975.4,975.4,975.4,975.4,0
2024-01-11,965.9,965.9,965.9,965.9,0
2024-01-12,967.8,967.8,967.8,967.8,0
2024-01-16,951.3,951.3,951.3,951.3,0
2024-01-17,938.9,938.9,938.9,938.9,0
2024-01-18,960.0,960.0,960.0,960.0,0
2024-01-19,955.8,955.8,955.8,955.8,0
2024-01-22,951.8,951.8,951.8,951.8,0
2024-01-23,954.2,954.2,954.2,954.2,0
2024-01-24,963.9,963.9,963.9,963.9,0
2024-01-25,943.6,943.6,943.6,943.6,0
2024-01-26,968.6,968.6,968.6,968.6,0
2024-01-29,982.1,982.1,982.1,982.1,0
2024-01-30,977.2,977.2,977.2,977.2,0
2024-01-31,977.3,977.3,977.3,977.3,0
2024-02-01,968.9,968.9,968.9,968.9,0
2024-02-02,949.5,949.5,949.5,949.5,0
2024-02-05,951.6,951.6,951.6,951.6,0
2024-02-06,958.2,958.2,958.2,958.2,0
2024-02-07,937.2,937.2,937.2,937.2,0
2024-02-08,943.4,943.4,943.4,943.4,0
2024-02-09,929.4,929.4,929.4,929.4,0
2024-02-12,946.3,946.3,946.3,946.3,0
2024-02-13,927.3,927.3,927.3,927.3,0
2024-02-14,944.8,944.8,944.8,944.8,0
2024-02-15,950.9,950.9,950.9,950.9,0
2024-02-16,958.8,958.8,958.8,958.8,0
2024-02-20,960.2,960.2,960.2,960.2,0
2024-02-21,937.4,937.4,937.4,937.4,0
2024-02-22,952.2,952.2,952.2,952.2,0
2024-02-23,956.5,956.5,956.5,956.5,0
2024-02-26,929.4,929.4,929.4,929.4,0
2024-02-27,944.7,944.7,944.7,944.7,0
2024-02-28,935.9,935.9,935.9,935.9,0
2024-02-29,935.5,935.5,935.5,935.5,0
2024-03-01,940.5,940.5,940.5,940.5,0
2024-03-04,954.4,954.4,954.4,954.4,0
2024-03-05,939.1,939.1,939.1,939.1,0
2024-03-06,965.0,965.0,965.0,965.0,0
2024-03-07,972.8,972.8,972.8,972.8,0
2024-03-08,967.1,967.1,967.1,967.1,0
2024-03-11,989.9,989.9,989.9,989.9,0
2024-03-12,983.1,983.1,983.1,983.1,0
2024-03-13,998.1,998.1,998.1,998.1,0
2024-03-14,991.9,991.9,991.9,991.9,0
2024-03-15,997.7,997.7,997.7,997.7,0
2024-03-18,977.0,977.0,977.0,977.0,0
2024-03-19,959.8,959.8,959.8,959.8,0
2024-03-20,957.0,957.0,957.0,957.0,0
2024-03-21,969.7,969.7,969.7,969.7,0
2024-03-22,956.1,956.1,956.1,956.1,0
2024-03-25,966.7,966.7,966.7,966.7,0
2024-03-26,968.5,968.5,968.5,968.5,0
2024-03-27,959.2,959.2,959.2,959.2,0
2024-03-28,969.4,969.4,969.4,969.4,0
2024-04-01,961.1,961.1,961.1,961.1,0
2024-04-02,982.0,982.0,982.0,982.0,0
2024-04-03,993.2,993.2,993.2,993.2,0
2024-04-04,1000.8,1000.8,1000.8,1000.8,0
2024-04-05,989.6,989.6,989.6,989.6,0
2024-04-08,1022.6,1022.6,1022.6,1022.6,0
2024-04-09,1033.5,1033.5,1033.5,1033.5,0
2024-04-10,1026.6,1026.6,1026.6,1026.6,0
2024-04-11,1038.2,1038.2,1038.2,1038.2,0
2024-04-12,1053.6,1053.6,1053.6,1053.6,0
2024-04-15,1032.4,1032.4,1032.4,1032.4,0
2024-04-16,1027.1,1027.1,1027.1,1027.1,0
2024-04-17,1006.0,1006.0,1006.0,1006.0,0
2024-04-18,1005.9,1005.9,1005.9,1005.9,0
2024-04-19,997.5,997.5,997.5,997.5,0
2024-04-22,986.1,986.1,986.1,986.1,0
2024-04-23,977.8,977.8,977.8,977.8,0
2024-04-24,971.2,971.2,971.2,971.2,0
2024-04-25,975.5,975.5,975.5,975.5,0
2024-04-26,977.4,977.4,977.4,977.4,0
2024-04-29,1013.1,1013.1,1013.1,1013.1,0
2024-04-30,1001.8,1001.8,1001.8,1001.8,0
2024-05-01,1007.8,1007.8,1007.8,1007.8,0
2024-05-02,1014.4,1014.4,1014.4,1014.4,0
2024-05-03,1017.2,1017.2,1017.2,1017.2,0
2024-05-06,1016.5,1016.5,1016.5,1016.5,0
2024-05-07,1036.8,1036.8,1036.8,1036.8,0
2024-05-08,1033.7,1033.7,1033.7,1033.7,0
2024-05-09,1040.2,1040.2,1040.2,1040.2,0
2024-05-10,1055.2,1055.2,1055.2,1055.2,0
2024-05-13,1058.1,1058.1,1058.1,1058.1,0
2024-05-14,1090.6,1090.6,1090.6,1090.6,0
2024-05-15,1119.2,1119.2,1119.2,1119.2,0
2024-05-16,1123.7,1123.7,1123.7,1123.7,0
2024-05-17,1138.6,1138.6,1138.6,1138.6,0
2024-05-20,1117.5,1117.5,1117.5,1117.5,0
2024-05-21,1112.9,1112.9,1112.9,1112.9,0
2024-05-22,1104.1,1104.1,1104.1,1104.1,0
2024-05-23,1083.8,1083.8,1083.8,1083.8,0
2024-05-24,1090.1,1090.1,1090.1,1090.1,0
2024-05-28,1119.2,1119.2,1119.2,1119.2,0
2024-05-29,1103.3,1103.3,1103.3,1103.3,0
2024-05-30,1092.6,1092.6,1092.6,1092.6,0
2024-05-31,1095.0,1095.0,1095.0,1095.0,0
2024-06-03,1078.2,1078.2,1078.2,1078.2,0
2024-06-04,1052.9,1052.9,1052.9,1052.9,0
2024-06-05,1055.6,1055.6,1055.6,1055.6,0
2024-06-06,1066.5,1066.5,1066.5,1066.5,0
2024-06-07,1028.0,1028.0,1028.0,1028.0,0
2024-06-10,1033.7,1033.7,1033.7,1033.7,0
2024-06-11,1014.8,1014.8,1014.8,1014.8,0
2024-06-12,1026.6,1026.6,1026.6,1026.6,0
2024-06-13,1010.3,1010.3,1010.3,1010.3,0
2024-06-14,1014.4,1014.4,1014.4,1014.4,0
2024-06-17,1025.8,1025.8,1025.8,1025.8,0
2024-06-18,1035.0,1035.0,1035.0,1035.0,0
2024-06-20,1040.4,1040.4,1040.4,1040.4,0
2024-06-21,1050.5,1050.5,1050.5,1050.5,0
2024-06-24,1055.4,1055.4,1055.4,1055.4,0
2024-06-25,1042.6,1042.6,1042.6,1042.6,0
