Date,open,high,low,close,volume
2012-04-16,23.6,23.6,23.22,23.22,592
2012-04-17,23.16,23.54,23.15,23.44,737
2012-04-18,23.6,23.63,22.95,23.03,280
2012-04-19,23.25,23.26,22.94,22.94,480
2012-04-20,22.93,23.01,22.8,22.84,101
2012-04-23,23.12,23.12,22.78,22.78,58
2012-04-24,22.75,22.86,22.7,22.74,173
2012-04-25,22.94,22.94,22.8,22.84,80
2012-04-26,22.92,22.97,22.6,22.67,673
2012-04-27,22.67,22.91,22.45,22.77,608
2012-04-30,22.89,22.97,22.6,22.6,72
2012-05-01,22.53,22.65,22.47,22.61,295
2012-05-02,22.6,22.6,22.4,22.43,744
2012-05-03,22.56,22.56,22.32,22.38,403
2012-05-04,22.45,22.5,22.35,22.47,265
2012-05-07,22.38,22.7,22.38,22.64,124
2012-05-08,22.54,22.57,22.21,22.3,254
2012-05-09,22.2,22.47,22.2,22.27,240
2012-05-10,22.23,22.45,22.23,22.27,190
2012-05-11,22.09,22.37,22.08,22.18,211
2012-05-14,22.16,22.22,22.12,22.22,62
2012-05-15,22.2,22.49,22.2,22.3,392
2012-05-16,22.25,22.35,22.15,22.35,276
2012-05-17,22.3,22.4,22.21,22.38,191
2012-05-18,22.28,22.38,22.08,22.16,261
2012-05-21,22.21,22.31,22.03,22.11,610
2012-05-22,22.06,22.06,21.77,21.79,613
2012-05-23,21.75,21.79,21.42,21.63,1163
2012-05-24,21.65,21.69,21.56,21.59,256
2012-05-25,21.54,21.59,21.45,21.51,153
2012-05-29,21.49,21.6,21.31,21.42,362
2012-05-30,21.35,21.49,21.18,21.3,424
2012-05-31,21.37,21.41,21.14,21.27,1376
2012-06-01,21.27,21.3,20.9,21.03,1108
2012-06-04,21.05,21.26,21.03,21.14,1110
2012-06-05,21.12,21.21,21.06,21.11,149
2012-06-06,21.05,21.5,21.05,21.44,1131
2012-06-07,21.45,21.46,21.11,21.3,692
2012-06-08,21.23,21.4,21.14,21.38,508
2012-06-11,21.47,21.51,21.2,21.35,457
2012-06-12,21.24,21.34,21.04,21.24,653
2012-06-13,20.97,21.21,20.75,21.21,745
2012-06-14,21.13,21.17,20.96,20.96,366
2012-06-15,21.08,21.26,21.05,21.22,554
2012-06-18,21.15,21.19,20.71,20.84,1309
2012-06-19,20.83,21.33,20.79,21.32,1549
2012-06-20,21.33,21.43,21.26,21.39,438
2012-06-21,21.33,21.48,21.18,21.39,83
2012-06-22,21.18,21.39,20.61,20.94,1181
2012-06-25,20.96,21.08,20.96,20.98,57
2012-06-26,21.08,21.15,21.03,21.06,320
2012-06-27,21.04,21.5,21.04,21.46,922
2012-06-28,21.28,21.62,20.82,21.16,523
2012-06-29,21.28,21.45,21.05,21.39,2026
2012-07-02,21.27,21.7,21.27,21.55,1010
2012-07-03,21.6,21.86,21.6,21.73,1253
2012-07-05,21.84,22.25,21.84,22.11,1303
2012-07-06,22.05,22.26,22.01,22.24,723
2012-07-09,22.19,22.68,22.19,22.65,1220
2012-07-10,22.66,22.8,22.59,22.67,399
2012-07-11,22.64,22.78,22.63,22.73,1271
2012-07-12,22.76,22.85,22.36,22.51,882
2012-07-13,22.64,22.66,22.48,22.62,1252
2012-07-16,22.62,22.65,22.34,22.62,937
2012-07-17,22.5,22.63,22.4,22.61,375
2012-07-18,22.46,22.67,22.39,22.65,1046
2012-07-19,22.65,22.75,22.41,22.68,779
2012-07-20,22.71,22.84,22.46,22.57,1911
2012-07-23,22.64,22.75,22.5,22.64,965
2012-07-24,22.61,22.75,22.44,22.6,507
2012-07-25,22.72,22.78,22.6,22.74,458
2012-07-26,22.6,22.68,21.99,22.24,812
2012-07-27,22.25,22.41,22.15,22.38,690
2012-07-30,22.47,22.6,22.4,22.46,235
2012-07-31,22.48,22.48,22.22,22.26,577
2012-08-01,22.23,22.45,22.07,22.41,375
2012-08-02,22.3,22.35,22.02,22.23,251
2012-08-03,22.05,22.16,21.95,22.14,472
2012-08-06,22.2,22.2,21.9,22.01,275
2012-08-07,21.99,22.1,21.73,21.8,556
2012-08-08,21.7,21.82,21.57,21.6,1055
2012-08-09,21.62,21.65,21.38,21.39,1494
2012-08-10,21.35,21.44,21.28,21.31,1503
2012-08-13,21.28,21.33,21.01,21.03,885
2012-08-14,21.1,21.26,21.0,21.02,378
2012-08-15,21.24,21.32,21.05,21.18,711
2012-08-16,21.19,21.39,21.16,21.37,1558
2012-08-17,21.39,21.48,21.27,21.29,1001
2012-08-20,21.36,21.48,21.19,21.41,597
2012-08-21,21.3,21.32,20.9,20.93,2265
2012-08-22,21.0,21.17,20.97,21.0,362
2012-08-23,21.06,21.32,20.88,20.94,965
2012-08-24,20.95,21.07,20.85,20.93,393
2012-08-27,21.04,21.11,20.85,20.85,621
2012-08-28,20.87,21.26,20.83,21.26,1707
2012-08-29,21.26,21.4,20.95,20.99,2072
2012-08-30,21.02,21.25,20.98,21.12,2069
2012-08-31,21.14,21.2,21.02,21.16,1751
2012-09-04,21.19,21.32,20.9,20.94,1729
2012-09-05,21.05,21.05,20.7,20.73,1563
2012-09-06,20.82,20.82,20.58,20.6,386
2012-09-07,20.8,21.0,20.66,20.79,966
2012-09-10,20.8,21.15,20.79,21.12,426
2012-09-11,21.07,21.22,20.93,21.02,1313
2012-09-12,21.01,21.42,21.01,21.22,684
2012-09-13,21.2,21.38,21.16,21.31,836
2012-09-14,21.36,21.73,21.3,21.58,982
2012-09-17,21.56,21.56,21.36,21.48,1054
2012-09-18,21.46,21.46,20.94,20.96,1889
2012-09-19,20.92,21.04,20.55,20.58,1533
2012-09-20,20.55,20.98,20.55,20.88,4617
2012-09-21,20.77,21.23,20.77,20.94,1371
2012-09-24,20.85,21.15,20.76,21.06,760
2012-09-25,21.1,21.44,21.1,21.43,2954
2012-09-26,21.34,21.56,20.96,21.17,1963
2012-09-27,21.03,21.3,20.91,21.17,1693
2012-09-28,21.2,21.3,20.96,21.24,1558
2012-10-01,21.22,21.73,21.22,21.71,2442
2012-10-02,21.65,22.08,21.65,21.98,3850
2012-10-03,21.95,22.07,21.68,22.04,2448
2012-10-04,22.0,22.15,21.72,22.07,2690
2012-10-05,22.04,22.06,21.61,22.05,1285
2012-10-08,21.96,22.03,21.71,21.89,771
2012-10-09,21.87,22.0,21.77,21.84,2281
2012-10-10,21.89,21.9,21.43,21.77,915
2012-10-11,21.63,21.66,20.78,20.87,4833
2012-10-12,20.92,20.99,20.49,20.64,2620
2012-10-15,20.58,20.66,20.43,20.45,1633
2012-10-16,20.56,20.76,20.48,20.53,4866
2012-10-17,20.64,20.65,20.45,20.56,1064
2012-10-18,20.5,20.53,20.21,20.27,928
2012-10-19,20.31,20.81,20.16,20.58,1078
2012-10-22,20.77,20.85,20.31,20.42,559
2012-10-23,20.31,20.31,20.05,20.1,1480
2012-10-24,20.05,20.23,19.95,20.17,2369
2012-10-25,20.23,20.34,19.96,20.04,940
2012-10-26,20.03,20.12,19.81,19.87,995
2012-10-29,19.97,19.99,19.79,19.89,749
2012-10-30,19.97,20.08,19.97,20.03,1342
2012-10-31,20.07,20.1,19.78,20.05,1154
2012-11-01,20.0,20.12,19.89,19.94,2661
2012-11-02,20.06,20.13,19.98,20.12,2244
2012-11-05,20.1,20.19,19.99,20.07,2780
2012-11-06,20.04,20.53,19.98,20.41,3185
2012-11-07,20.38,20.4,19.94,19.96,2455
2012-11-08,20.03,20.09,19.73,19.83,5138
2012-11-09,19.9,20.17,19.66,19.99,1958
2012-11-12,20.07,20.34,19.96,20.18,2014
2012-11-13,20.15,20.44,20.09,20.26,2105
2012-11-14,20.33,20.41,20.05,20.11,1112
2012-11-15,20.09,20.09,19.91,19.95,1879
2012-11-16,19.92,20.04,19.84,20.02,2540
2012-11-19,20.08,20.55,20.08,20.51,5594
2012-11-20,20.35,20.56,20.31,20.51,2669
2012-11-21,20.42,20.45,20.24,20.28,1081
2012-11-23,20.37,20.51,19.86,19.91,3151
2012-11-26,19.97,20.06,19.85,20.0,1525
2012-11-27,20.05,20.25,19.92,20.1,2225
2012-11-28,20.14,20.19,19.96,20.04,1005
2012-11-29,20.0,20.23,20.0,20.18,1244
2012-11-30,20.18,20.24,20.04,20.22,3266
2012-12-03,20.21,20.6,20.21,20.48,5601
2012-12-04,20.39,20.54,20.09,20.17,1504
2012-12-05,20.17,20.39,20.12,20.39,2300
2012-12-06,20.39,20.43,20.26,20.37,4549
2012-12-07,20.29,20.34,20.04,20.33,6003
2012-12-10,20.22,20.32,19.92,19.92,4067
2012-12-11,19.96,20.05,19.9,20.04,1037
2012-12-12,19.98,20.02,19.82,19.84,5382
2012-12-13,19.84,19.91,19.7,19.86,3491
2012-12-14,19.85,20.23,19.85,20.21,3944
2012-12-17,20.23,20.51,20.23,20.51,1659
2012-12-18,20.46,20.57,20.19,20.56,3011
2012-12-19,20.48,20.55,20.31,20.4,1395
2012-12-20,20.35,20.46,20.07,20.44,1126
2012-12-21,20.36,20.54,20.31,20.48,1597
2012-12-24,20.37,20.43,20.18,20.23,1068
2012-12-26,20.29,20.41,20.26,20.27,699
2012-12-27,20.3,20.58,20.27,20.54,3497
2012-12-28,20.55,20.6,20.45,20.51,1357
2012-12-31,20.42,20.6,20.35,20.58,463
2013-01-02,20.58,20.72,20.58,20.7,2194
2013-01-03,20.68,20.72,20.06,20.27,2522
2013-01-04,20.18,20.24,20.05,20.11,2635
2013-01-07,20.17,20.29,20.07,20.25,3215
2013-01-08,20.3,20.37,20.17,20.21,4038
2013-01-09,20.25,20.32,20.09,20.29,3459
2013-01-10,20.33,20.53,20.3,20.53,3795
2013-01-11,20.5,20.62,20.41,20.6,3584
2013-01-14,20.57,20.58,20.33,20.49,3350
2013-01-15,20.4,20.48,20.28,20.29,7055
2013-01-16,20.37,20.42,20.03,20.15,5397
2013-01-17,20.09,20.12,19.97,19.99,3161
2013-01-18,20.01,20.07,19.89,19.93,2415
2013-01-22,19.93,19.94,19.64,19.68,4470
2013-01-23,19.73,19.95,19.64,19.88,4353
2013-01-24,19.84,19.93,19.68,19.9,2715
2013-01-25,19.95,20.03,19.72,20.02,6458
2013-01-28,19.99,20.33,19.97,20.32,6303
2013-01-29,20.28,20.29,19.94,20.13,5936
2013-01-30,20.18,20.32,19.95,20.32,10569
