Date,open,high,low,close,volume
2014-03-31,19.79,19.795,19.765,19.765,4
2014-04-01,19.715,19.805,19.706,19.706,6
2014-04-02,19.83,20.068,19.83,20.068,41
2014-04-03,20.0,20.01,19.75,19.824,16
2014-04-04,19.955,20.235,19.945,19.966,66
2014-04-07,19.89,19.93,19.87,19.927,35
2014-04-08,19.98,20.12,19.98,20.074,93
2014-04-09,20.07,20.085,19.65,19.786,179
2014-04-10,20.01,20.31,19.985,20.108,193
2014-04-11,20.04,20.075,19.962,19.962,63
2014-04-14,20.065,20.09,19.735,20.026,161
2014-04-15,19.82,19.82,19.31,19.505,129
2014-04-16,19.435,19.815,19.435,19.648,135
2014-04-17,19.565,19.645,19.56,19.612,60
2014-04-21,19.63,19.63,19.295,19.367,94
2014-04-22,19.335,19.525,19.335,19.376,809
2014-04-23,19.435,19.55,19.435,19.454,596
2014-04-24,19.46,19.785,18.96,19.701,1087
2014-04-25,19.61,19.775,19.555,19.704,998
2014-04-28,19.755,19.755,19.52,19.605,946
2014-04-29,19.6,19.6,19.33,19.513,522
2014-04-30,19.47,19.47,19.05,19.148,269
2014-05-01,19.11,19.165,18.82,19.017,123
2014-05-02,18.995,19.62,18.96,19.52,584
2014-05-05,19.52,19.685,19.47,19.545,175
2014-05-06,19.515,19.64,19.515,19.621,30
2014-05-07,19.69,19.69,19.31,19.318,108
2014-05-08,19.26,19.315,19.114,19.114,45
2014-05-09,19.16,19.285,19.04,19.097,104
2014-05-12,19.065,19.635,19.065,19.52,117
2014-05-13,19.54,19.54,19.38,19.524,133
2014-05-14,19.505,19.945,19.505,19.753,71
2014-05-15,19.775,19.775,19.445,19.463,204
2014-05-16,19.47,19.49,19.265,19.308,103
2014-05-19,19.5,19.565,19.333,19.333,265
2014-05-20,19.29,19.425,19.24,19.375,78
2014-05-21,19.39,19.45,19.255,19.312,118
2014-05-22,19.515,19.8,19.46,19.494,127
2014-05-23,19.435,19.49,19.305,19.392,98
2014-05-27,19.415,19.425,19.0,19.043,384
2014-05-28,19.04,19.105,18.95,19.035,71
2014-05-29,18.94,19.005,18.845,18.983,196
2014-05-30,18.95,18.96,18.605,18.653,40
2014-06-02,18.75,18.8,18.675,18.709,33
2014-06-03,18.79,18.81,18.732,18.732,18
2014-06-04,18.766,18.766,18.766,18.766,0
2014-06-05,18.9,19.055,18.9,19.055,31
2014-06-06,18.955,18.963,18.955,18.963,1
2014-06-09,19.05,19.05,19.045,19.045,3
2014-06-10,19.147,19.147,19.147,19.147,0
2014-06-11,19.154,19.154,19.154,19.154,0
2014-06-12,19.515,19.515,19.515,19.515,0
2014-06-13,19.535,19.637,19.535,19.637,2
