Date,open,high,low,close,volume
2008-04-15,580.0,587.5,580.0,584.0,19
2008-04-16,584.0,586.5,581.5,586.0,15
2008-04-17,588.0,593.0,586.25,593.0,14
2008-04-18,593.0,593.25,585.75,592.5,22
2008-04-21,585.5,587.75,578.25,586.5,175
2008-04-22,598.5,600.25,590.75,597.0,12
2008-04-23,587.75,597.25,587.75,587.75,95
2008-04-24,583.75,588.5,573.0,579.5,17
2008-04-25,587.0,589.75,581.0,581.0,95
2008-04-28,593.0,595.0,590.5,593.0,8
2008-04-29,596.5,597.0,586.0,586.5,39
2008-04-30,587.5,589.0,580.5,582.5,15
2008-05-01,580.0,587.5,578.0,587.5,6
2008-05-02,586.5,590.75,586.0,590.0,25
2008-05-05,574.5,591.75,574.0,581.5,27
2008-05-06,588.25,593.0,586.5,590.0,20
2008-05-07,587.25,592.5,587.25,589.0,10
2008-05-08,598.5,602.5,597.25,602.0,20
2008-05-09,602.0,610.0,599.0,610.0,27
2008-05-12,604.0,606.25,600.5,603.5,149
2008-05-13,595.0,604.0,591.75,604.0,71
2008-05-14,599.0,602.5,596.75,600.5,3
2008-05-15,594.25,602.5,592.0,602.0,30
2008-05-16,597.0,607.5,595.75,597.0,5
2008-05-19,592.0,599.0,592.0,596.0,67
2008-05-20,600.5,613.0,600.5,610.5,63
2008-05-21,610.0,632.0,609.0,632.0,26
2008-05-22,635.0,635.0,620.25,622.0,161
2008-05-23,622.0,623.75,618.5,622.0,54
2008-05-27,616.75,622.0,616.75,621.5,52
2008-05-28,611.5,615.5,611.0,615.5,61
2008-05-29,605.0,605.0,593.5,602.0,28
2008-05-30,600.0,610.75,599.75,603.5,64
2008-06-02,603.0,620.0,603.0,616.0,104
2008-06-03,614.0,623.25,611.0,615.0,17
2008-06-04,615.0,622.0,610.75,622.0,124
2008-06-05,620.25,641.25,620.25,641.25,274
2008-06-06,639.0,655.5,639.0,654.75,401
2008-06-09,654.0,663.0,651.25,651.75,43
2008-06-10,651.75,662.0,650.0,662.0,153
2008-06-11,662.0,692.0,662.0,692.0,124
2008-06-12,689.0,700.0,678.0,688.5,159
2008-06-13,688.5,701.75,680.25,698.5,71
2008-06-16,711.25,712.25,688.0,691.0,254
2008-06-17,687.5,689.75,679.5,686.0,314
2008-06-18,683.5,690.0,679.25,689.5,31
2008-06-19,690.0,690.0,671.25,676.5,1029
2008-06-20,676.5,688.25,673.0,673.0,118
2008-06-23,674.0,683.75,674.0,683.75,298
2008-06-24,687.5,689.0,666.5,670.5,427
2008-06-25,679.25,681.0,660.5,681.0,247
2008-06-26,681.0,696.5,681.0,692.5,68
2008-06-27,698.0,698.0,679.5,683.25,104
2008-06-30,681.0,681.0,660.5,662.5,156
2008-07-01,672.25,680.5,666.0,680.5,99
2008-07-02,689.0,708.5,677.0,708.5,75
2008-07-03,700.0,707.25,699.0,705.5,25
2008-07-07,692.0,692.0,675.5,675.5,216
2008-07-08,678.75,679.25,661.0,675.5,229
2008-07-09,672.75,673.0,665.25,672.0,95
2008-07-10,667.5,677.25,667.5,677.25,36
2008-07-11,686.0,688.0,675.25,688.0,129
2008-07-14,672.25,677.5,668.25,668.25,53
2008-07-15,667.0,668.25,655.0,657.25,302
2008-07-16,650.0,666.5,648.0,666.5,50
2008-07-17,664.75,666.5,653.0,653.0,843
2008-07-18,653.0,661.0,644.0,644.0,111
2008-07-21,644.0,653.0,638.0,643.0,631
2008-07-22,645.25,645.25,628.0,632.0,558
2008-07-23,628.0,634.0,608.0,628.0,383
2008-07-24,625.5,628.75,617.25,625.0,217
2008-07-25,624.0,632.25,624.0,629.5,74
2008-07-28,631.25,632.75,625.0,632.75,137
2008-07-29,631.0,645.0,627.0,645.0,201
2008-07-30,655.0,665.0,650.5,664.5,110
2008-07-31,664.5,664.5,653.0,653.0,76
2008-08-01,653.5,653.5,632.0,632.5,115
2008-08-04,627.0,627.0,602.5,607.0,624
2008-08-05,599.0,620.0,593.5,602.0,194
2008-08-06,602.0,603.0,583.75,585.0,93
