Date,open,high,low,close,volume
2000-08-28,17.96,17.96,17.96,17.96,0
2000-08-29,17.96,17.96,17.96,17.96,0
2000-08-30,17.96,17.96,17.96,17.96,0
2000-08-31,17.96,17.96,17.96,17.96,0
2000-09-01,17.96,17.96,17.96,17.96,0
2000-09-05,17.96,17.96,17.96,17.96,0
2000-09-06,17.96,17.96,17.96,17.96,0
2000-09-07,17.96,17.96,17.96,17.96,0
2000-09-08,17.96,17.96,17.96,17.96,0
2000-09-11,17.96,17.96,17.96,17.96,0
2000-09-12,17.96,17.96,17.96,17.96,0
2000-09-13,17.96,17.96,17.96,17.96,0
2000-09-14,17.96,17.96,17.96,17.96,0
2000-09-15,17.96,17.96,17.96,17.96,0
2000-09-18,17.96,17.96,17.96,17.96,0
2000-09-19,17.96,17.96,17.96,17.96,0
2000-09-20,17.96,17.96,17.96,17.96,0
2000-09-21,17.96,17.96,17.96,17.96,0
2000-09-22,17.96,17.96,17.96,17.96,0
2000-09-25,17.96,17.96,17.96,17.96,0
2000-09-26,17.96,17.96,17.96,17.96,0
2000-09-27,17.96,17.96,17.96,17.96,0
2000-09-28,17.96,17.96,17.96,17.96,0
2000-09-29,17.96,17.96,17.96,17.96,0
2000-10-02,17.96,17.96,17.96,17.96,0
2000-10-03,17.96,17.96,17.96,17.96,0
2000-10-04,17.96,17.96,17.96,17.96,0
2000-10-05,17.96,17.96,17.96,17.96,0
2000-10-06,17.96,17.96,17.96,17.96,0
2000-10-09,17.96,17.96,17.96,17.96,0
2000-10-10,17.96,17.96,17.96,17.96,0
2000-10-11,17.96,17.96,17.96,17.96,0
2000-10-12,17.96,17.96,17.96,17.96,0
2000-10-13,17.96,17.96,17.96,17.96,0
2000-10-16,17.96,17.96,17.96,17.96,0
2000-10-17,17.96,17.96,17.96,17.96,0
2000-10-18,17.96,17.96,17.96,17.96,0
2000-10-19,17.96,17.96,17.96,17.96,0
2000-10-20,17.96,17.96,17.96,17.96,0
2000-10-23,17.96,17.96,17.96,17.96,0
2000-10-24,17.96,17.96,17.96,17.96,0
2000-10-25,17.96,17.96,17.96,17.96,0
2000-10-26,17.96,17.96,17.96,17.96,0
2000-10-27,17.96,17.96,17.96,17.96,0
2000-10-30,17.96,17.96,17.96,17.96,0
2000-10-31,17.96,17.96,17.96,17.96,0
2000-11-01,17.96,17.96,17.96,17.96,0
2000-11-02,17.96,17.96,17.96,17.96,0
2000-11-03,17.96,17.96,17.96,17.96,0
2000-11-06,17.96,17.96,17.96,17.96,0
2000-11-07,17.96,17.96,17.96,17.96,0
2000-11-08,17.96,17.96,17.96,17.96,0
2000-11-09,17.96,17.96,17.96,17.96,0
2000-11-10,17.96,17.96,17.96,17.96,0
2000-11-13,17.96,17.96,17.96,17.96,0
2000-11-14,17.96,17.96,17.96,17.96,0
2000-11-15,17.96,17.96,17.96,17.96,0
2000-11-16,17.96,17.96,17.96,17.96,0
2000-11-17,17.96,17.96,17.96,17.96,0
2000-11-20,17.96,17.96,17.96,17.96,0
2000-11-21,17.96,17.96,17.96,17.96,0
2000-11-22,17.96,17.96,17.96,17.96,0
2000-11-24,17.96,17.96,17.96,17.96,0
2000-11-27,17.96,17.96,17.96,17.96,0
2000-11-28,17.96,17.96,17.96,17.96,0
2000-11-29,17.96,17.96,17.96,17.96,0
2000-11-30,17.96,17.96,17.96,17.96,0
2000-12-01,17.96,17.96,17.96,17.96,0
2000-12-04,17.96,17.96,17.96,17.96,0
2000-12-05,17.96,17.96,17.96,17.96,0
2000-12-06,17.96,17.96,17.96,17.96,0
2000-12-07,17.96,17.96,17.96,17.96,0
2000-12-08,17.96,17.96,17.96,17.96,0
2000-12-11,17.96,17.96,17.96,17.96,0
2000-12-12,17.96,17.96,17.96,17.96,0
2000-12-13,17.96,17.96,17.96,17.96,0
