Date,open,high,low,close,volume
2021-06-15,341.4,341.4,341.4,341.4,0
2021-06-16,343.2,343.2,343.2,343.2,0
2021-06-17,334.9,334.9,334.9,334.9,0
2021-06-18,348.3,349.6,345.1,345.1,46
2021-06-21,349.0,349.0,341.0,341.0,155
2021-06-22,335.4,335.4,335.4,335.4,2
2021-06-23,335.1,335.1,335.1,335.1,0
2021-06-24,333.4,333.4,333.4,333.4,0
2021-06-25,340.4,340.4,340.4,340.4,0
2021-06-28,340.1,340.1,339.6,340.1,0
2021-06-29,335.3,335.3,335.3,335.3,0
2021-06-30,343.8,343.8,343.8,343.8,1
2021-07-01,353.8,353.8,353.8,353.8,0
2021-07-02,353.2,353.2,353.2,353.2,0
2021-07-06,337.3,337.3,337.3,337.3,0
2021-07-07,341.1,342.3,341.1,341.1,0
2021-07-08,340.9,342.0,340.9,340.9,0
2021-07-09,343.2,345.0,336.9,337.2,17
2021-07-12,341.1,341.1,341.1,341.1,0
2021-07-13,344.6,346.1,338.7,338.7,10
2021-07-14,348.4,348.4,348.4,348.4,3
2021-07-15,345.1,345.1,341.1,341.1,3
2021-07-16,341.6,343.4,341.6,341.6,0
2021-07-19,345.1,346.0,345.1,345.1,0
2021-07-20,347.0,347.9,342.8,347.0,1
2021-07-21,351.3,351.4,351.3,351.3,0
2021-07-22,344.3,344.3,344.3,344.3,0
2021-07-23,336.0,336.0,336.0,336.0,0
2021-07-26,337.0,337.0,332.9,337.0,0
2021-07-27,340.2,340.2,340.2,340.2,27
2021-07-28,338.6,338.6,337.6,338.6,0
2021-07-29,339.1,339.1,339.1,339.1,0
2021-07-30,338.8,338.8,338.8,338.8,0
2021-08-02,343.3,343.3,343.3,343.3,0
2021-08-03,338.6,338.6,338.6,338.6,0
2021-08-04,342.8,342.8,342.8,342.8,0
2021-08-05,343.0,343.0,343.0,343.0,0
2021-08-06,340.7,340.7,340.7,340.7,0
2021-08-09,342.1,342.1,342.1,342.1,0
2021-08-10,333.0,333.0,333.0,333.0,5
2021-08-11,331.4,331.4,329.1,329.8,62
2021-08-12,330.0,332.0,330.0,330.0,0
2021-08-13,329.3,329.3,329.3,329.3,40
2021-08-16,328.4,330.1,328.2,330.1,6
2021-08-17,335.3,335.3,331.3,331.3,8
2021-08-18,335.2,335.2,333.2,333.5,8
2021-08-19,330.7,330.7,330.0,330.7,3
2021-08-20,331.5,332.0,328.2,331.5,29
2021-08-23,332.2,334.0,328.7,331.7,18
2021-08-24,335.5,337.0,335.5,335.5,11
2021-08-25,336.1,338.0,335.9,336.1,47
2021-08-26,336.5,336.5,334.9,336.5,0
2021-08-27,338.6,338.6,336.7,336.7,1
2021-08-30,336.0,336.0,336.0,336.0,0
2021-08-31,337.9,338.2,337.9,337.9,1
2021-09-01,338.5,339.7,338.5,338.5,0
2021-09-02,338.8,338.8,336.9,336.9,1
2021-09-03,339.5,340.3,339.5,339.5,0
2021-09-07,338.3,338.3,338.3,338.3,1
2021-09-08,338.8,338.8,338.8,338.8,1
2021-09-09,339.8,339.8,339.8,339.8,7
2021-09-10,344.5,350.3,344.5,348.2,85
2021-09-13,346.9,346.9,345.7,346.9,3
2021-09-14,345.7,345.8,344.0,344.0,19
2021-09-15,345.0,345.0,341.0,341.1,8
2021-09-16,344.3,344.3,344.3,344.3,1
2021-09-17,342.4,342.4,342.4,342.4,8
2021-09-20,342.0,342.0,341.5,342.0,0
2021-09-21,343.1,343.1,343.1,343.1,0
2021-09-22,341.4,343.3,340.7,341.1,37
2021-09-23,338.9,340.6,338.9,340.5,41
2021-09-24,341.0,341.2,338.0,338.0,10
2021-09-27,340.6,341.0,338.8,338.9,4
2021-09-28,338.3,338.3,337.4,338.3,29
2021-09-29,339.0,339.2,339.0,339.1,76
2021-09-30,339.0,339.1,337.2,337.7,136
2021-10-01,337.9,338.2,337.9,337.9,136
2021-10-04,338.0,340.5,337.4,337.4,25
2021-10-05,336.6,336.6,335.2,335.2,75
2021-10-06,335.5,335.5,334.5,334.5,37
2021-10-07,332.6,332.6,332.6,332.6,37
2021-10-08,329.9,329.9,329.9,329.9,14
2021-10-11,328.5,328.5,328.5,328.5,2
2021-10-12,325.5,325.5,325.5,325.5,2
2021-10-13,325.0,325.0,324.5,324.6,8
2021-10-14,324.2,325.2,323.3,323.3,161
2021-10-15,325.7,325.7,323.3,323.3,9
2021-10-18,323.0,323.1,322.0,322.6,4
2021-10-19,325.6,328.9,325.6,325.6,11
2021-10-20,326.4,327.8,325.3,326.4,48
2021-10-21,323.7,323.7,322.3,323.7,1
2021-10-22,325.8,325.9,322.6,323.2,119
2021-10-25,324.2,324.2,324.2,324.2,0
2021-10-26,324.7,326.1,324.0,324.7,0
2021-10-27,328.4,330.1,323.8,328.4,1
2021-10-28,329.9,331.2,327.9,329.9,1
2021-10-29,330.7,330.7,328.9,330.7,0
2021-11-01,329.0,329.0,328.2,329.0,22
2021-11-02,331.7,332.2,331.6,332.1,24
2021-11-03,330.4,334.3,330.4,332.4,52
2021-11-04,329.8,330.8,328.8,330.8,61
2021-11-05,329.1,329.1,325.7,326.5,2
2021-11-08,325.5,326.7,325.0,325.6,100
2021-11-09,332.0,332.0,332.0,332.0,0
2021-11-10,333.1,333.1,329.8,333.1,0
2021-11-11,331.6,331.9,330.6,331.9,9
2021-11-12,331.7,337.3,330.8,333.9,103
2021-11-15,343.2,344.9,343.0,344.6,202
2021-11-16,342.9,343.1,341.0,341.2,105
2021-11-17,341.4,347.7,341.2,343.9,54
2021-11-18,337.9,337.9,337.9,344.4,6
2021-11-19,345.0,345.5,337.1,344.4,153
2021-11-22,344.7,344.9,342.1,344.7,69
2021-11-23,345.6,347.1,344.0,344.5,296
2021-11-24,336.9,337.3,336.8,337.3,38
2021-11-26,336.9,337.5,336.3,336.9,5
2021-11-29,334.3,339.4,333.9,334.3,9
2021-11-30,331.5,332.6,331.2,332.6,26
2021-12-01,334.3,337.0,330.1,334.3,24
2021-12-02,337.2,337.2,333.1,333.7,3
2021-12-03,336.8,337.4,336.8,336.8,1
2021-12-06,336.7,338.2,334.6,335.5,57
2021-12-07,335.7,336.3,334.8,335.7,2
2021-12-08,339.7,343.2,339.5,341.9,53
2021-12-09,345.7,345.7,340.2,345.7,16
2021-12-10,351.2,351.4,350.4,350.4,51
2021-12-13,346.6,347.0,345.7,347.0,7
2021-12-14,356.2,356.7,356.2,356.7,17
2021-12-15,354.3,357.4,351.2,351.2,54
2021-12-16,347.5,347.5,347.5,353.0,43
