Date,open,high,low,close,volume
2006-01-17,160.0,160.0,160.0,160.0,0
2006-01-18,159.0,159.0,159.0,159.0,0
2006-01-19,158.0,158.0,158.0,158.0,0
2006-01-20,158.0,158.0,158.0,158.0,0
2006-01-23,159.0,159.0,159.0,159.0,0
2006-01-24,159.0,159.0,159.0,159.0,0
2006-01-25,160.5,160.5,160.5,160.5,0
2006-01-26,159.25,159.25,159.25,159.25,0
2006-01-27,160.75,160.75,160.75,160.75,0
2006-01-30,161.75,161.75,161.75,161.75,0
2006-01-31,165.75,165.75,165.75,165.75,0
2006-02-01,164.75,164.75,164.75,164.75,0
2006-02-02,164.5,164.5,164.5,164.5,0
2006-02-03,167.0,167.0,167.0,167.0,0
2006-02-06,166.75,166.75,166.75,166.75,0
2006-02-07,165.0,165.0,165.0,165.0,0
2006-02-08,166.75,166.75,166.75,166.75,0
2006-02-09,166.5,166.5,166.5,166.5,0
2006-02-10,166.25,166.25,166.25,166.25,0
2006-02-13,165.0,165.0,165.0,165.0,0
2006-02-14,164.75,164.75,164.75,164.75,0
2006-02-15,165.0,165.0,165.0,165.0,0
2006-02-16,165.5,165.5,165.5,165.5,0
2006-02-17,165.5,165.5,165.5,165.5,0
2006-02-21,165.75,165.75,165.75,165.75,0
2006-02-22,165.25,165.25,165.25,165.25,0
2006-02-23,166.5,166.5,166.5,166.5,0
2006-02-24,167.5,167.5,167.5,167.5,0
2006-02-27,168.5,168.5,168.5,168.5,0
2006-02-28,171.0,171.0,171.0,171.0,0
2006-03-01,171.5,171.5,171.5,171.5,0
2006-03-02,171.75,171.75,171.75,171.75,0
2006-03-03,172.75,172.75,172.75,172.75,0
2006-03-06,173.5,173.5,173.5,173.5,0
2006-03-07,176.5,176.5,176.5,176.5,0
2006-03-08,175.0,175.0,175.0,175.0,0
2006-03-09,175.0,175.0,175.0,175.0,0
2006-03-10,175.0,175.0,175.0,175.0,0
2006-03-13,175.0,175.0,175.0,175.0,0
2006-03-14,170.0,170.0,170.0,170.0,0
2006-03-15,174.0,174.0,174.0,174.0,0
2006-03-16,170.0,170.0,170.0,170.0,0
2006-03-17,169.0,169.0,169.0,169.0,0
2006-03-20,166.0,166.0,166.0,166.0,0
2006-03-21,166.25,166.25,166.25,166.25,0
2006-03-22,168.0,168.0,168.0,168.0,0
2006-03-23,173.0,173.0,173.0,173.0,0
2006-03-24,173.0,173.0,173.0,173.0,0
2006-03-27,173.0,173.0,173.0,173.0,0
2006-03-28,173.0,173.0,173.0,173.0,0
2006-03-29,173.0,173.0,173.0,173.0,0
2006-03-30,173.0,173.0,173.0,173.0,0
2006-03-31,173.0,173.0,173.0,173.0,0
2006-04-03,173.0,173.0,173.0,173.0,0
2006-04-04,173.0,173.0,173.0,173.0,0
2006-04-05,173.0,173.0,173.0,173.0,0
2006-04-06,173.0,173.0,173.0,173.0,0
2006-04-07,173.0,173.0,173.0,173.0,0
2006-04-10,173.0,173.0,173.0,173.0,0
2006-04-11,173.0,173.0,173.0,173.0,0
2006-04-12,173.0,173.0,173.0,173.0,0
2006-04-13,173.0,173.0,173.0,173.0,0
2006-04-17,175.0,175.0,175.0,175.0,0
2006-04-18,175.0,175.0,175.0,175.0,0
2006-04-19,176.0,176.0,176.0,176.0,0
2006-04-20,176.0,176.0,176.0,176.0,0
2006-04-21,179.0,179.0,179.0,179.0,0
2006-04-24,179.0,179.0,179.0,179.0,0
2006-04-25,179.5,179.5,179.5,179.5,0
2006-04-26,182.0,182.0,182.0,182.0,0
2006-04-27,182.0,182.0,182.0,182.0,0
2006-04-28,187.0,187.0,187.0,187.0,0
2006-05-01,187.0,187.0,187.0,187.0,0
2006-05-02,187.0,187.0,187.0,187.0,0
2006-05-03,192.0,192.0,192.0,192.0,0
2006-05-04,192.0,192.0,192.0,192.0,0
2006-05-05,192.0,192.0,192.0,192.0,0
2006-05-08,192.0,192.0,192.0,192.0,0
2006-05-09,192.0,192.0,192.0,192.0,0
2006-05-10,192.0,192.0,192.0,192.0,0
2006-05-11,192.0,192.0,192.0,192.0,0
2006-05-12,197.0,197.0,197.0,197.0,0
2006-05-15,197.0,197.0,197.0,197.0,0
2006-05-16,199.0,199.0,199.0,199.0,0
2006-05-17,203.5,203.5,203.5,203.5,0
2006-05-18,207.0,207.0,207.0,207.0,0
2006-05-19,207.0,207.0,207.0,207.0,0
2006-05-22,207.0,207.0,207.0,207.0,0
2006-05-23,207.0,207.0,207.0,207.0,0
2006-05-24,204.0,204.0,204.0,204.0,0
2006-05-25,203.0,203.0,203.0,203.0,0
2006-05-26,203.0,203.0,203.0,203.0,0
2006-05-30,203.0,203.0,203.0,203.0,0
2006-05-31,203.0,203.0,203.0,203.0,0
2006-06-01,205.0,205.0,205.0,205.0,0
