Date,open,high,low,close,volume
2003-10-16,7.0,7.0,7.0,7.0,0
2003-10-17,7.0,7.0,7.0,7.0,0
2003-10-20,7.0,7.0,7.0,7.0,0
2003-10-21,7.0,7.0,7.0,7.0,0
2003-10-22,7.2,7.2,7.2,7.2,0
2003-10-23,7.32,7.32,7.32,7.32,0
2003-10-24,7.32,7.32,7.32,7.32,0
2003-10-27,7.5,7.5,7.5,7.5,0
2003-10-28,7.5,7.5,7.5,7.5,0
2003-10-29,7.5,7.5,7.5,7.5,0
2003-10-30,7.5,7.5,7.5,7.5,0
2003-10-31,7.5,7.5,7.5,7.5,0
2003-11-03,7.5,7.5,7.5,7.5,0
2003-11-04,7.85,7.85,7.85,7.85,7
2003-11-05,7.75,7.75,7.75,7.75,1
2003-11-06,7.75,7.75,7.75,7.75,0
2003-11-07,7.75,7.75,7.75,7.75,0
2003-11-10,7.75,7.75,7.75,7.75,0
2003-11-11,7.75,7.75,7.75,7.75,0
2003-11-12,7.75,7.75,7.75,7.75,0
2003-11-13,7.75,7.75,7.75,7.75,0
2003-11-14,7.75,7.75,7.75,7.75,0
2003-11-17,7.75,7.75,7.75,7.75,0
2003-11-18,7.7,7.7,7.7,7.7,0
2003-11-19,7.7,7.7,7.7,7.7,0
2003-11-20,7.7,7.7,7.7,7.7,0
2003-11-21,7.7,7.7,7.7,7.7,0
2003-11-24,7.7,7.7,7.7,7.7,0
2003-11-25,7.7,7.7,7.7,7.7,0
2003-11-26,7.7,7.7,7.7,7.7,0
2003-11-28,7.7,7.7,7.7,7.7,0
2003-12-01,7.7,7.7,7.7,7.7,0
2003-12-02,7.74,7.74,7.74,7.74,0
2003-12-03,7.7,7.7,7.7,7.7,0
2003-12-04,7.7,7.7,7.7,7.7,0
2003-12-05,7.8,7.8,7.8,7.8,0
2003-12-08,7.81,7.81,7.81,7.81,0
2003-12-09,7.81,7.81,7.81,7.81,0
2003-12-10,7.81,7.81,7.81,7.81,0
2003-12-11,7.81,7.81,7.81,7.81,0
2003-12-12,7.81,7.81,7.81,7.81,0
2003-12-15,7.81,7.81,7.81,7.81,0
2003-12-16,7.81,7.81,7.81,7.81,0
2003-12-17,7.81,7.81,7.81,7.81,0
2003-12-18,7.69,7.69,7.69,7.69,0
2003-12-19,7.69,7.69,7.69,7.69,0
2003-12-22,7.69,7.69,7.69,7.69,0
2003-12-23,7.65,7.65,7.65,7.65,0
2003-12-24,7.65,7.65,7.65,7.65,0
2003-12-26,7.65,7.65,7.65,7.65,0
2003-12-29,7.65,7.65,7.65,7.65,0
2003-12-30,7.65,7.65,7.65,7.65,0
2003-12-31,7.65,7.65,7.65,7.65,0
2004-01-02,7.65,7.65,7.65,7.65,0
2004-01-05,7.65,7.65,7.65,7.65,0
2004-01-06,7.73,7.73,7.73,7.73,10
2004-01-07,7.73,7.73,7.73,7.73,0
2004-01-08,7.84,7.84,7.84,7.84,10
2004-01-09,7.94,7.94,7.94,7.94,0
2004-01-12,7.8,7.8,7.8,7.8,0
2004-01-13,7.85,7.85,7.85,7.85,0
2004-01-14,7.9,7.9,7.9,7.9,0
2004-01-15,7.9,7.9,7.9,7.9,0
2004-01-16,7.95,7.95,7.95,7.95,0
2004-01-20,7.95,7.95,7.95,7.95,0
2004-01-21,7.8,7.8,7.8,7.8,10
2004-01-22,7.82,7.82,7.82,7.82,0
2004-01-23,7.78,7.78,7.78,7.78,3
2004-01-26,7.78,7.78,7.78,7.78,0
2004-01-27,7.84,7.84,7.84,7.84,0
2004-01-28,7.78,7.78,7.78,7.78,0
2004-01-29,7.8,7.8,7.8,7.8,5
2004-01-30,7.9,7.9,7.9,7.9,0
2004-02-02,7.78,7.78,7.78,7.78,5
2004-02-03,7.75,7.75,7.75,7.75,10
2004-02-04,7.72,7.72,7.72,7.72,0
2004-02-05,7.65,7.65,7.65,7.65,0
2004-02-06,7.55,7.55,7.55,7.55,15
2004-02-09,7.59,7.59,7.59,7.59,2
2004-02-10,7.3,7.3,7.3,7.3,32
2004-02-11,7.35,7.35,7.35,7.35,21
2004-02-12,7.35,7.35,7.35,7.35,0
2004-02-13,7.32,7.32,7.32,7.32,1
2004-02-17,7.4,7.4,7.4,7.4,0
2004-02-18,7.5,7.5,7.5,7.5,18
2004-02-19,7.5,7.5,7.5,7.5,0
2004-02-20,7.5,7.5,7.5,7.5,4
2004-02-23,7.56,7.56,7.56,7.56,0
2004-02-24,7.82,7.82,7.82,7.82,31
2004-02-25,7.92,7.92,7.92,7.92,43
2004-02-26,7.91,7.91,7.91,7.91,28
2004-02-27,8.2,8.2,8.2,8.2,50
2004-03-01,8.3,8.3,8.3,8.3,50
2004-03-02,8.34,8.34,8.34,8.34,11
2004-03-03,8.77,8.77,8.77,8.77,130
2004-03-04,8.7,8.7,8.58,8.58,206
2004-03-05,8.72,8.72,8.72,8.72,10
2004-03-08,8.9,8.9,8.9,8.9,55
2004-03-09,8.93,8.93,8.93,8.93,123
2004-03-10,8.9,8.9,8.9,8.9,98
2004-03-11,8.93,8.93,8.93,8.93,148
2004-03-12,9.015,9.015,9.015,9.015,76
2004-03-15,9.05,9.05,9.05,9.05,99
2004-03-16,9.18,9.18,9.18,9.18,73
2004-03-17,9.3,9.3,9.3,9.3,115
2004-03-18,9.22,9.22,9.22,9.22,121
2004-03-19,9.08,9.08,9.08,9.08,22
2004-03-22,9.08,9.08,9.05,9.05,13
2004-03-23,9.04,9.04,9.04,9.04,23
2004-03-24,9.04,9.1,9.04,9.08,43
2004-03-25,9.04,9.04,9.04,9.04,20
2004-03-26,8.6,8.6,8.6,8.6,34
2004-03-29,8.62,8.62,8.62,8.62,66
2004-03-30,8.57,8.57,8.57,8.57,8
2004-03-31,8.55,8.55,8.55,8.55,55
2004-04-01,9.05,9.05,9.05,9.05,44
2004-04-02,9.22,9.22,9.22,9.22,24
2004-04-05,9.11,9.11,9.11,9.11,12
2004-04-06,9.0,9.0,9.0,9.0,6
2004-04-07,9.05,9.05,9.05,9.05,33
2004-04-08,8.96,8.96,8.96,8.96,2
2004-04-12,8.96,8.96,8.96,8.96,4
2004-04-13,8.96,8.96,8.96,8.96,86
2004-04-14,8.99,8.99,8.93,8.93,20
2004-04-15,8.72,8.72,8.72,8.72,89
2004-04-16,8.88,8.88,8.88,8.88,34
2004-04-19,8.87,8.87,8.87,8.87,51
2004-04-20,8.9,8.9,8.9,8.9,15
2004-04-21,8.92,8.92,8.92,8.92,1
2004-04-22,9.06,9.06,9.06,9.06,25
2004-04-23,9.11,9.11,9.11,9.11,57
2004-04-26,9.24,9.24,9.24,9.24,33
2004-04-27,9.26,9.26,9.26,9.26,65
2004-04-28,9.26,9.27,9.26,9.27,14
2004-04-29,9.35,9.35,9.35,9.35,83
2004-04-30,9.4,9.4,9.4,9.4,66
2004-05-03,9.1,9.1,9.1,9.1,20
2004-05-04,8.95,8.95,8.95,8.95,49
2004-05-05,9.0,9.0,9.0,9.0,8
2004-05-06,9.1,9.1,9.1,9.1,52
2004-05-07,9.4,9.4,9.4,9.4,59
2004-05-10,9.3,9.3,9.3,9.3,2
2004-05-11,9.3,9.3,9.3,9.3,3
2004-05-12,9.2,9.2,9.2,9.2,28
2004-05-13,9.14,9.14,9.14,9.14,76
2004-05-14,9.14,9.14,9.14,9.14,6
2004-05-17,9.26,9.26,9.26,9.26,70
2004-05-18,9.17,9.17,9.17,9.17,80
2004-05-19,9.2,9.2,9.2,9.2,39
2004-05-20,9.39,9.39,9.03,9.03,57
2004-05-21,9.1,9.1,9.1,9.1,13
2004-05-24,9.1,9.1,9.1,9.1,7
2004-05-25,9.38,9.38,9.38,9.38,56
2004-05-26,9.18,9.18,9.18,9.18,44
2004-05-27,8.95,8.95,8.95,8.95,11
2004-05-28,8.9,8.9,8.9,8.9,26
2004-06-01,9.28,9.28,9.28,9.28,143
2004-06-02,9.23,9.23,9.23,9.23,180
2004-06-03,9.15,9.15,9.15,9.15,31
2004-06-04,9.04,9.04,9.04,9.04,105
2004-06-07,9.1,9.1,9.1,9.1,28
2004-06-08,9.065,9.065,9.065,9.065,80
2004-06-09,9.05,9.05,9.05,9.05,10
2004-06-10,9.04,9.04,9.04,9.04,56
2004-06-14,9.08,9.08,9.08,9.08,73
2004-06-15,9.02,9.02,9.02,9.02,42
2004-06-16,9.06,9.06,9.06,9.06,24
2004-06-17,9.12,9.12,9.12,9.12,141
2004-06-18,9.12,9.12,9.12,9.12,113
2004-06-21,9.07,9.07,9.07,9.07,89
2004-06-22,8.75,8.75,8.75,8.75,348
2004-06-23,8.35,8.35,8.35,8.35,186
2004-06-24,8.42,8.42,8.42,8.42,224
2004-06-25,8.42,8.5,8.42,8.5,262
2004-06-28,8.38,8.38,8.38,8.38,254
2004-06-29,8.35,8.35,8.35,8.35,232
2004-06-30,8.28,8.28,8.28,8.28,145
2004-07-01,8.045,8.045,8.045,8.045,352
2004-07-02,7.94,7.94,7.94,7.94,151
2004-07-06,7.705,7.705,7.705,7.705,126
2004-07-07,7.82,7.82,7.82,7.82,168
2004-07-08,7.715,7.715,7.715,7.715,101
2004-07-09,7.68,7.68,7.68,7.68,67
2004-07-12,7.51,7.51,7.51,7.51,103
2004-07-13,7.35,7.35,7.35,7.35,204
2004-07-14,7.16,7.16,7.16,7.16,210
2004-07-15,7.15,7.15,7.15,7.15,94
2004-07-16,7.28,7.28,7.28,7.28,205
2004-07-19,7.35,7.35,7.35,7.35,196
2004-07-20,7.36,7.36,7.36,7.36,124
2004-07-21,7.39,7.55,7.39,7.55,305
2004-07-22,7.3,7.3,7.3,7.3,195
2004-07-23,7.3,7.3,7.3,7.3,78
2004-07-26,7.15,7.15,7.15,7.15,182
2004-07-27,7.17,7.17,7.17,7.17,90
2004-07-28,7.08,7.08,7.08,7.08,213
2004-07-29,6.96,6.96,6.96,6.96,127
2004-07-30,6.97,6.97,6.97,6.97,259
2004-08-02,7.42,7.42,7.42,7.42,309
2004-08-03,7.385,7.385,7.385,7.385,155
2004-08-04,7.35,7.35,7.35,7.35,100
2004-08-05,7.34,7.34,7.34,7.34,278
2004-08-06,7.3,7.3,7.3,7.3,41
2004-08-09,7.795,7.795,7.795,7.795,495
2004-08-10,7.74,7.74,7.74,7.74,173
2004-08-11,7.84,7.84,7.84,7.84,195
2004-08-12,7.79,7.79,7.79,7.79,108
2004-08-13,7.755,7.755,7.755,7.755,124
2004-08-16,7.71,7.71,7.71,7.71,277
2004-08-17,7.7,7.7,7.7,7.7,168
2004-08-18,7.365,7.365,7.365,7.365,459
2004-08-19,7.44,7.44,7.44,7.44,109
2004-08-20,7.45,7.45,7.45,7.45,202
2004-08-23,7.5,7.5,7.5,7.5,274
2004-08-24,7.58,7.58,7.58,7.58,313
2004-08-25,7.58,7.58,7.58,7.58,44
2004-08-26,7.54,7.54,7.54,7.54,165
2004-08-27,7.59,7.59,7.59,7.59,56
2004-08-30,7.95,7.95,7.95,7.95,892
2004-08-31,7.94,7.94,7.94,7.94,298
2004-09-01,7.805,7.805,7.805,7.805,288
2004-09-02,7.81,7.81,7.72,7.72,186
2004-09-03,7.585,7.585,7.585,7.585,273
2004-09-07,7.49,7.49,7.49,7.49,293
2004-09-08,7.74,7.74,7.74,7.74,224
2004-09-09,7.72,7.72,7.72,7.72,104
2004-09-10,7.72,7.72,7.595,7.595,160
2004-09-13,7.62,7.73,7.62,7.73,154
2004-09-14,7.73,7.76,7.73,7.76,357
2004-09-15,7.45,7.45,7.45,7.45,381
2004-09-16,7.39,7.39,7.39,7.39,486
2004-09-17,7.3,7.3,7.3,7.3,348
2004-09-20,7.16,7.16,7.16,7.16,585
2004-09-21,7.175,7.175,7.175,7.175,348
2004-09-22,7.13,7.13,7.06,7.06,357
2004-09-23,6.98,6.98,6.98,6.98,257
2004-09-24,6.84,6.84,6.84,6.84,396
2004-09-27,6.865,6.92,6.865,6.92,112
2004-09-28,6.915,6.915,6.915,6.915,292
