Date,open,high,low,close,volume
2001-01-16,504.0,504.0,504.0,504.0,0
2001-01-17,504.0,504.0,504.0,504.0,0
2001-01-18,504.0,504.0,504.0,504.0,0
2001-01-19,506.0,506.0,506.0,506.0,2
2001-01-22,513.5,513.5,513.5,513.5,0
2001-01-23,506.0,506.0,506.0,506.0,0
2001-01-24,509.5,509.5,509.5,509.5,0
2001-01-25,508.0,508.0,508.0,508.0,0
2001-01-26,501.5,501.5,501.5,501.5,2
2001-01-29,499.0,499.0,499.0,499.0,0
2001-01-30,502.0,502.0,502.0,502.0,0
2001-01-31,503.0,503.0,503.0,503.0,2
2001-02-01,509.0,509.0,509.0,509.0,0
2001-02-02,512.0,512.0,512.0,512.0,2
2001-02-05,505.5,505.5,505.5,505.5,0
2001-02-06,507.0,507.0,507.0,507.0,0
2001-02-07,505.0,505.0,505.0,505.0,0
2001-02-08,494.0,494.0,494.0,494.0,0
2001-02-09,495.0,495.0,495.0,495.0,9
2001-02-12,495.0,495.0,495.0,495.0,1
2001-02-13,489.0,489.0,489.0,489.0,0
2001-02-14,491.0,491.0,491.0,491.0,0
2001-02-15,489.0,489.0,489.0,489.0,0
2001-02-16,492.0,492.0,492.0,492.0,0
2001-02-20,493.0,493.0,493.0,493.0,0
2001-02-21,495.0,495.0,495.0,495.0,6
2001-02-22,491.5,491.5,491.5,491.5,0
2001-02-23,483.0,483.0,483.0,483.0,0
2001-02-26,482.5,482.5,482.5,482.5,0
2001-02-27,485.0,485.0,485.0,485.0,2
2001-02-28,495.0,495.0,495.0,495.0,0
2001-03-01,499.0,499.0,499.0,499.0,6
2001-03-02,494.0,494.0,494.0,494.0,0
2001-03-05,497.0,497.0,497.0,497.0,6
2001-03-06,506.0,506.0,506.0,506.0,6
2001-03-07,502.0,502.0,502.0,502.0,0
2001-03-08,499.0,499.0,499.0,499.0,0
2001-03-09,497.0,497.0,497.0,497.0,0
2001-03-12,497.0,497.0,497.0,497.0,14
2001-03-13,491.25,491.25,491.25,491.25,4
2001-03-14,480.0,480.0,480.0,480.0,4
2001-03-15,478.5,478.5,478.5,478.5,26
2001-03-16,476.5,476.5,476.5,476.5,0
2001-03-19,476.5,476.5,476.5,476.5,0
2001-03-20,481.5,481.5,481.5,481.5,0
2001-03-21,477.0,477.0,477.0,477.0,0
2001-03-22,468.5,468.5,468.5,468.5,2
2001-03-23,467.0,467.0,467.0,467.0,40
2001-03-26,471.0,471.0,471.0,471.0,9
2001-03-27,473.5,473.5,473.5,473.5,2
2001-03-28,471.0,471.0,471.0,471.0,2
2001-03-29,463.0,463.0,463.0,463.0,2
2001-03-30,451.0,451.0,451.0,451.0,15
2001-04-02,460.5,460.5,460.5,460.5,26
2001-04-03,461.0,461.0,461.0,461.0,4
2001-04-04,467.0,467.0,467.0,467.0,10
2001-04-05,467.5,467.5,467.5,467.5,0
2001-04-06,464.5,464.5,464.5,464.5,0
2001-04-09,469.0,469.0,469.0,469.0,0
2001-04-10,463.0,463.0,463.0,463.0,0
2001-04-11,466.0,466.0,466.0,466.0,0
2001-04-12,465.0,465.0,465.0,465.0,0
2001-04-16,460.0,460.0,460.0,460.0,8
2001-04-17,457.0,457.0,457.0,457.0,0
2001-04-18,455.5,455.5,455.5,455.5,16
2001-04-19,447.0,447.0,447.0,447.0,7
2001-04-20,448.0,448.0,448.0,448.0,0
2001-04-23,445.0,445.0,445.0,445.0,0
2001-04-24,447.5,447.5,447.5,447.5,0
2001-04-25,446.0,446.0,446.0,446.0,1
2001-04-26,455.5,455.5,455.5,455.5,0
2001-04-27,451.0,451.0,451.0,451.0,7
2001-04-30,459.0,459.0,459.0,459.0,0
2001-05-01,457.5,457.5,457.5,457.5,6
2001-05-02,458.0,458.0,458.0,458.0,0
2001-05-03,453.0,453.0,453.0,453.0,1
2001-05-04,461.5,461.5,461.5,461.5,44
2001-05-07,455.5,455.5,455.5,455.5,3
2001-05-08,457.0,457.0,457.0,457.0,3
2001-05-09,456.0,456.0,456.0,456.0,7
2001-05-10,447.5,447.5,447.5,447.5,4
2001-05-11,449.0,449.0,449.0,449.0,13
2001-05-14,456.5,456.5,456.5,456.5,18
2001-05-15,456.5,456.5,456.5,456.5,120
2001-05-16,459.5,459.5,459.5,459.5,23
2001-05-17,463.0,463.0,463.0,463.0,9
2001-05-18,464.0,464.0,464.0,464.0,10
2001-05-21,458.0,458.0,458.0,458.0,0
2001-05-22,458.0,458.0,458.0,458.0,0
2001-05-23,454.5,454.5,454.5,454.5,47
2001-05-24,456.0,456.0,456.0,456.0,14
2001-05-25,454.0,454.0,454.0,454.0,71
2001-05-29,449.0,449.0,449.0,449.0,1
2001-05-30,445.0,445.0,445.0,445.0,74
2001-06-01,458.5,458.5,458.5,458.5,313
2001-06-04,460.0,460.0,460.0,460.0,34
2001-06-05,459.5,459.5,459.5,459.5,34
2001-06-06,464.0,464.0,464.0,464.0,140
2001-06-07,465.75,465.75,465.75,465.75,287
2001-06-08,468.0,468.0,468.0,468.0,138
2001-06-11,473.5,473.5,473.5,473.5,83
2001-06-12,477.0,477.0,477.0,477.0,74
2001-06-13,473.75,473.75,473.75,473.75,889
2001-06-14,471.0,471.0,471.0,471.0,261
2001-06-15,459.0,459.0,459.0,459.0,347
2001-06-18,464.0,464.0,464.0,464.0,118
2001-06-19,467.0,467.0,467.0,467.0,378
2001-06-20,463.0,463.0,463.0,463.0,162
2001-06-21,459.0,459.0,459.0,459.0,104
2001-06-22,459.0,459.0,454.5,454.5,31
2001-06-25,453.75,453.75,449.0,449.0,249
2001-06-26,459.0,459.0,459.0,459.0,193
2001-06-27,463.5,463.5,463.5,463.5,241
2001-06-28,462.0,462.0,462.0,462.0,0
2001-06-29,480.5,480.5,480.5,480.5,2103
2001-07-02,489.5,489.5,489.5,489.5,0
2001-07-03,489.5,491.5,489.5,491.5,1735
2001-07-05,493.0,493.0,493.0,493.0,3276
2001-07-06,489.5,489.5,489.5,489.5,3064
2001-07-09,500.0,500.0,500.0,500.0,3516
2001-07-10,508.5,508.5,508.5,508.5,3025
2001-07-11,511.5,511.5,511.5,511.5,6232
2001-07-12,523.0,523.0,523.0,523.0,5242
2001-07-13,521.25,524.25,521.25,524.25,5439
2001-07-16,512.0,512.0,512.0,512.0,2792
2001-07-17,514.5,522.0,514.5,520.0,3931
2001-07-18,511.5,511.5,511.5,511.5,979
2001-07-19,513.0,513.0,512.25,512.25,3065
2001-07-20,494.0,494.0,494.0,494.0,1011
2001-07-23,503.75,503.75,503.75,503.75,1807
2001-07-24,500.75,500.75,500.75,500.75,1059
2001-07-25,506.25,506.25,506.25,506.25,1289
2001-07-26,507.5,507.5,507.5,507.5,1178
