ticker,year,month,contract_file,avg_vol,return,start_date,start_value,end_date,end_value
CO,2001,1,CO_2001-03.csv,59465.333333333336,0.07873511911604754,2001-01-02,26.49,2001-01-31,28.66
CO,2001,2,CO_2001-04.csv,61239.84210526316,-0.02238360599703041,2001-02-01,28.01,2001-02-28,27.39
CO,2001,3,CO_2001-05.csv,61604.90909090909,-0.046450854558718946,2001-03-01,27.54,2001-03-30,26.29
CO,2001,4,CO_2001-06.csv,56544.95,0.06308724399326131,2001-04-02,26.72,2001-04-30,28.46
CO,2001,5,CO_2001-07.csv,59297.77272727273,-0.01677774413334858,2001-05-01,28.85,2001-05-31,28.37
CO,2001,6,CO_2001-08.csv,69151.23809523809,-0.08574072878817418,2001-06-01,28.6,2001-06-29,26.25
CO,2001,7,CO_2001-09.csv,57414.333333333336,0.036719100962880585,2001-07-02,25.4,2001-07-31,26.35
CO,2001,8,CO_2001-10.csv,57607.04347826087,0.053617975790910245,2001-08-01,25.78,2001-08-31,27.2
CO,2001,9,CO_2001-11.csv,61802.875,-0.15286944967120983,2001-09-04,27.3,2001-09-28,23.43
CO,2001,10,CO_2001-12.csv,48893.17391304348,-0.10649301861012557,2001-10-01,23.56,2001-10-31,21.18
CO,2001,11,CO_2002-01.csv,61256.5,-0.09839184634173281,2001-11-01,21.45,2001-11-30,19.44
CO,2001,12,CO_2002-02.csv,49636.15789473684,0.010131798930406955,2001-12-03,19.64,2001-12-31,19.84
CO,2002,1,CO_2002-03.csv,65815.19047619047,-0.031828905570171595,2002-01-02,20.11,2002-01-31,19.48
CO,2002,2,CO_2002-04.csv,62176.10526315789,0.09296702098260382,2002-02-01,19.81,2002-02-28,21.74
CO,2002,3,CO_2002-05.csv,66760.3,0.17890664169388543,2002-03-01,22.0,2002-03-28,26.31
CO,2002,4,CO_2002-06.csv,77114.68181818182,0.029375601728070636,2002-04-01,26.5,2002-04-30,27.29
CO,2002,5,CO_2002-07.csv,79801.36363636363,-0.06055489572374072,2002-05-01,26.89,2002-05-31,25.31
CO,2002,6,CO_2002-08.csv,72670.8,0.05510192533378352,2002-06-03,25.42,2002-06-28,26.86
CO,2002,7,CO_2002-09.csv,70977.04761904762,0.000740466527723692,2002-07-01,27.0,2002-07-31,27.02
CO,2002,8,CO_2002-10.csv,67951.72727272728,0.09059392065352653,2002-08-01,26.47,2002-08-30,28.98
CO,2002,9,CO_2002-11.csv,69004.05,0.05675281659244942,2002-09-03,28.77,2002-09-30,30.45
CO,2002,10,CO_2002-12.csv,75322.21739130435,-0.1071957152920035,2002-10-01,30.3,2002-10-31,27.22
CO,2002,11,CO_2003-01.csv,71723.78947368421,0.00037195462582464436,2002-11-01,26.88,2002-11-27,26.89
CO,2002,12,CO_2003-02.csv,67735.0,0.1557545294092328,2002-12-02,26.7,2002-12-31,31.2
CO,2003,1,CO_2003-03.csv,82063.23809523809,0.07495767767855649,2003-01-02,31.09,2003-01-31,33.51
CO,2003,2,CO_2003-04.csv,81130.21052631579,0.11297901967120141,2003-02-03,32.69,2003-02-28,36.6
CO,2003,3,CO_2003-05.csv,77355.33333333333,-0.11290287669578312,2003-03-03,34.75,2003-03-31,31.04
CO,2003,4,CO_2003-06.csv,66848.38095238095,-0.1319798019331037,2003-04-01,29.44,2003-04-30,25.8
CO,2003,5,CO_2003-07.csv,64152.619047619046,0.1493135029507405,2003-05-01,25.46,2003-05-30,29.56
CO,2003,6,CO_2003-08.csv,68952.42857142857,0.05410402589294048,2003-06-02,28.6,2003-06-30,30.19
CO,2003,7,CO_2003-09.csv,66662.13636363637,0.025536124762801243,2003-07-01,29.77,2003-07-31,30.54
CO,2003,8,CO_2003-10.csv,67379.0,0.04271111809304987,2003-08-01,30.25,2003-08-29,31.57
CO,2003,9,CO_2003-11.csv,65459.23809523809,-0.06271751479642644,2003-09-02,31.09,2003-09-30,29.2
