,CC,CF,CO,CP,CT,GD,HE,HO,LE,NG,SU,SV,ZC,ZS,ZW
CC,1.000000,0.246934,0.179418,0.129860,0.186022,0.176002,0.096130,0.135856,0.013903,-0.022546,0.112449,0.218353,0.168199,0.183038,0.075465
CF,0.246934,1.000000,0.096051,0.257923,0.227520,0.253099,0.062046,0.099317,0.028912,0.078048,0.242826,0.263984,0.251637,0.264093,0.257974
CO,0.179418,0.096051,1.000000,0.388720,0.226812,0.109913,0.147379,0.870678,0.208048,0.230600,0.210094,0.275375,0.182225,0.199358,0.084828
CP,0.129860,0.257923,0.388720,1.000000,0.340771,0.300110,0.119134,0.382727,0.082152,0.085976,0.268872,0.395715,0.229258,0.278593,0.229061
CT,0.186022,0.227520,0.226812,0.340771,1.000000,0.110419,-0.000768,0.242689,0.038891,0.134414,0.218062,0.132265,0.377643,0.417111,0.243091
GD,0.176002,0.253099,0.109913,0.300110,0.110419,1.000000,-0.018954,0.116365,-0.097995,0.015054,0.184588,0.749634,0.218957,0.166552,0.199624
HE,0.096130,0.062046,0.147379,0.119134,-0.000768,-0.018954,1.000000,0.161164,0.310422,0.107639,0.028526,0.011859,0.014526,0.070175,0.031527
HO,0.135856,0.099317,0.870678,0.382727,0.242689,0.116365,0.161164,1.000000,0.123677,0.330250,0.182848,0.216588,0.205115,0.231584,0.092636
LE,0.013903,0.028912,0.208048,0.082152,0.038891,-0.097995,0.310422,0.123677,1.000000,-0.058427,0.045673,-0.015405,-0.034377,0.026021,0.004809
NG,-0.022546,0.078048,0.230600,0.085976,0.134414,0.015054,0.107639,0.330250,-0.058427,1.000000,0.064464,0.024656,0.118351,0.114087,0.084026
SU,0.112449,0.242826,0.210094,0.268872,0.218062,0.184588,0.028526,0.182848,0.045673,0.064464,1.000000,0.202899,0.151717,0.170894,0.111153
SV,0.218353,0.263984,0.275375,0.395715,0.132265,0.749634,0.011859,0.216588,-0.015405,0.024656,0.202899,1.000000,0.235315,0.221668,0.190193
ZC,0.168199,0.251637,0.182225,0.229258,0.377643,0.218957,0.014526,0.205115,-0.034377,0.118351,0.151717,0.235315,1.000000,0.677451,0.633965
ZS,0.183038,0.264093,0.199358,0.278593,0.417111,0.166552,0.070175,0.231584,0.026021,0.114087,0.170894,0.221668,0.677451,1.000000,0.508468
ZW,0.075465,0.257974,0.084828,0.229061,0.243091,0.199624,0.031527,0.092636,0.004809,0.084026,0.111153,0.190193,0.633965,0.508468,1.000000
