,CC,CF,CO,CP,CT,GD,HE,HO,LE,NG,SU,SV,ZC,ZS,ZW
CC,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292
CF,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292
CO,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292
CP,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292
CT,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292
GD,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292
HE,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292
HO,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292
LE,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292
NG,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292
SU,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292
SV,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292
ZC,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292
ZS,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292
ZW,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292
