date,run_001,run_002,run_003,run_004,run_005,run_006,run_007,run_008,run_009,run_010,run_011,run_012,run_013,run_014,run_015,run_016,run_017,run_018,run_019,run_020,run_021,run_022,run_023,run_024,run_025,run_026,run_027,run_028,run_029,run_030,run_031,run_032,run_033,run_034,run_035,run_036,run_037,run_038,run_039,run_040,run_041,run_042,run_043,run_044,run_045,run_046,run_047,run_048,run_049,run_050,run_051,run_052,run_053,run_054,run_055,run_056,run_057,run_058,run_059,run_060,run_061,run_062,run_063,run_064,run_065,run_066,run_067,run_068,run_069,run_070,run_071,run_072,run_073,run_074,run_075,run_076,run_077,run_078,run_079,run_080,run_081,run_082,run_083,run_084,run_085,run_086,run_087,run_088,run_089,run_090,run_091,run_092,run_093,run_094,run_095,run_096,run_097,run_098,run_099,run_100
2016-01-01,0.04882457003356944,0.049132969023473416,0.048550393167651196,0.048761627886704906,0.049072769628054624,0.049931123519930676,0.04857120630237177,0.04909638137694561,0.04888112621707763,0.04920805976340814,0.048683050636461056,0.04907848110332069,0.04937024069185281,0.04927174011931168,0.0486081688616955,0.04828964119796764,0.04904978295100926,0.049388952566937094,0.04867767753275398,0.049047772636638065,0.049571199708104086,0.04914249132110604,0.04901955715477735,0.048947924052738845,0.049099701462589795,0.04912942929338193,0.04882660963340135,0.04915749299268635,0.04828418437011206,0.04929008644370758,0.0487077123168167,0.04978957103723225,0.04942639786011682,0.049028090298001814,0.04877565536923156,0.04876844078964093,0.0492864374845956,0.04912285547433948,0.04915433434492722,0.048143119997040795,0.04912279697245503,0.049031456484569524,0.04912248724070056,0.048481487745806406,0.04878233988919156,0.04898607900532426,0.048339568964476554,0.04910519128675239,0.04934390798067012,0.04848460127354204,0.0494826616212487,0.0482530902499394,0.04949716275921312,0.048956472253604444,0.04925816792162796,0.0488842035985515,0.04850520892423571,0.048388835075258596,0.048605673122124715,0.048695835643698615,0.04938559817684318,0.049666971428527606,0.048755140802079655,0.04875979814426157,0.048994499456325835,0.04916814187547347,0.04860212924543661,0.049478786198086766,0.0486696410334444,0.04901165901340265,0.04892604957651092,0.04907907175990922,0.049277073981101926,0.04904581923073614,0.04909772584006089,0.04860135649940256,0.049884312585545265,0.04854121105325282,0.04967822941858535,0.04829043345747963,0.049035824004080686,0.04969837445858172,0.0484887354181065,0.04915161279188762,0.04893986299124209,0.049134809392227696,0.04976804179756211,0.04937275732876634,0.04874865084728475,0.04847330256993776,0.048866689123575835,0.04917266228850625,0.04841283192283141,0.048460968655424264,0.048703598218945654,0.04913145608446268,0.04974265193798599,0.049055119090693156,0.04847499191252891,0.04925819366368511
2016-02-01,0.0028693439605584903,0.003180965139857106,0.0027793636031316904,0.004021224860861317,0.003266545616893435,0.003660359543683489,0.0034424148553127143,0.003419194835102335,0.003362713271765072,0.0031902895525925956,0.0026169144616337014,0.003153723112121476,0.0037487750210312143,0.002539236040919546,0.003283139333057239,0.004289350996816044,0.002675427808725761,0.003588023384412775,0.00309588664760696,0.003757735001605589,0.0038255801283360036,0.003654147493115323,0.0036189797908001697,0.0036064234651944638,0.003908756420209825,0.003519283205757784,0.003645790854986952,0.0035804339341243274,0.0032451157663262453,0.0033612158327980257,0.0033675998810869245,0.00336066524470513,0.003694294462817993,0.004023140504655132,0.004057357703799891,0.0032565141338476433,0.0034565290132959614,0.0038722909917616732,0.0042535240949805875,0.0038195243982435123,0.004043834969442495,0.0032095474349265185,0.0029412179331123056,0.003671013650093702,0.0037684640881063824,0.003164100599065911,0.002980806984295148,0.0027920559566829706,0.00340919785233762,0.0034289223707255623,0.00304223999706954,0.0025620401832964212,0.003261569715386159,0.004154104678549819,0.0028255402471055735,0.002889041915672852,0.003929728566240742,0.0039487934519002454,0.0036526147312163637,0.0034298702018005223,0.004387735393207803,0.0034831830527242147,0.002518372687269732,0.003322978057258341,0.0033976664131223355,0.0028380004096639766,0.0034400642803518178,0.004054728464390367,0.0043689581996966265,0.003235176576479315,0.003142439172310274,0.0036375058361726165,0.0029880506990664912,0.0037776244656462232,0.0036745886205500344,0.0038254783580105034,0.003676301708106733,0.003554571910081128,0.0028898905405998487,0.0036197030687172838,0.0030912400905098725,0.0035343860591245946,0.0034640850078859753,0.004655801206987942,0.003819060361801352,0.0031325586903308,0.0041055353228105496,0.003789541043768274,0.0033964676141726713,0.003497562128627063,0.003302033580388386,0.003935567620164004,0.0044349209295408976,0.00325877852452372,0.0029243823425813,0.0025946740204283447,0.003048201349825863,0.004040265235136786,0.0029081810477242787,0.003087803301125014
2016-03-01,0.024309899783142797,0.0247338145607916,0.02472429335281001,0.07060983392510023,0.07214728022567796,0.07366289271791682,0.07300031109348581,0.024730500141846967,0.07239565220017186,0.07119255540831104,0.0701492127467791,0.07310055887594258,0.07294317382976634,0.07277904642074406,0.07338215401971371,0.0716932303136022,0.07112956870201681,0.07214001886366539,0.07263140038908955,0.07116757689994957,0.02331984963023981,0.02437836531784221,0.07216967502735372,0.07031680459670486,0.024544056007084203,0.023325760288589237,0.0724146453154424,0.0706327232510442,0.07198259715012956,0.07206079153006728,0.0741137451359608,0.07198994973405926,0.024335762463446153,0.07177685890996166,0.07362277628588765,0.0709231308267595,0.0719225050251382,0.07314187104377612,0.07059777230247244,0.07160896939432915,0.024031519690904224,0.07179192747677199,0.024572878983211588,0.07347524371356928,0.072101821536118,0.07141594727606226,0.07311551583348397,0.07252850209696682,0.024693480979719906,0.07214277736379371,0.07246273906024014,0.07221786163055177,0.025136115820420857,0.024018468578956842,0.07294274647130417,0.071889314921872,0.07086990500838009,0.07132969695551439,0.07196234960557568,0.07275633863649644,0.07127476582516201,0.07093160777447505,0.07075784311704059,0.071251679865731,0.07268675568298133,0.07199494781047266,0.07157612858963103,0.07254859886454423,0.0704527831992039,0.023890945789170948,0.07129802874337487,0.024816281502648696,0.07223927075322245,0.07042921113959144,0.025053795863047013,0.025157959862069257,0.07229731462674427,0.07115391152033257,0.07030724324298387,0.07261736005796404,0.07362106423092407,0.07330191478166892,0.07045613657175287,0.07161579567713927,0.07225301980194132,0.07158188136435673,0.06991566153303963,0.07059862780295578,0.07166037975632111,0.07123795141215705,0.07132906758688007,0.07199900131555004,0.07182203832672673,0.07248299296465088,0.07050324746907455,0.07359369733774002,0.07232130327524566,0.07313532493712138,0.02447770405473415,0.02453800928036931
2016-04-01,0.1630851984489723,0.16085071811964013,0.16049689445977777,0.1606994477914636,0.1603322677813448,0.16197254063623379,0.16218145087970082,0.15914209811825875,0.16000667034965055,0.15929901606968655,0.16079456359047395,0.1607691654643877,0.16119362428299078,0.16305119505368082,0.1643013462048324,0.16187400975608068,0.16185795909613687,0.16295399789189502,0.16289112491236546,0.16130412368963243,0.16386763305120056,0.1609832569882199,0.16064548043235827,0.1609763510514921,0.1640342528035006,0.16187134967658712,0.1606216238676339,0.160724263207072,0.16015403938862227,0.16023866532003517,0.16186512553986576,0.16016199672857212,0.16366506629203093,0.16147530136065313,0.16133404623172942,0.15900743109673243,0.16212257746267178,0.16404071042725143,0.1612811176966613,0.15915571827766595,0.16120807207966004,0.16257642195694544,0.16131112655183744,0.16176945734835213,0.16291256511819152,0.16065962440415493,0.16240151053380258,0.1601503736238301,0.16178076223449223,0.16295699004655417,0.16067367336213612,0.16040865456429065,0.1601783646448376,0.16093889454601285,0.16059846033175407,0.16268205845649852,0.15835627488589155,0.15929022933623127,0.16276127943128116,0.16099142174281122,0.15938798836032197,0.15842301855470686,0.15882854833818616,0.15990274648516967,0.16354704521652708,0.15957322979631017,0.15912019449273518,0.16076659520531633,0.16112384751335496,0.16034050365689834,0.16144555278717032,0.15934375893668906,0.16043182460474847,0.16050362597033385,0.16158247751232957,0.16078441420905887,0.16252892652077455,0.1618843638356129,0.16096597981794103,0.1602464909731116,0.1619272717220972,0.1636180617109464,0.15850202618367004,0.16179005915434463,0.15985238537748003,0.16234858421012377,0.15791709663255715,0.16068729869720655,0.16009716306357658,0.16197552219782319,0.16098277464453847,0.16017179281001725,0.15938619420538758,0.16165654725533551,0.1605838923045524,0.16393439716852898,0.16088712873005795,0.16343745367387608,0.16030847813488758,0.16347629608484837
2016-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-01,-0.028537190525918188,-0.028534716089707368,-0.028652107428509876,-0.02840420363475138,-0.028640026436294708,-0.028819218588018725,-0.028288687572010085,-0.028465887839389747,-0.02822014529356376,-0.028485752897928318,-0.028431422885895397,-0.028116704333474574,-0.028190541982590855,-0.028856635020560018,-0.028270886608401824,-0.028487564657332487,-0.027931655520493037,-0.028140434578965534,-0.028506382442473055,-0.028550226058659534,-0.028875531614511174,-0.02906832757912914,-0.028688153301785313,-0.028305827354072943,-0.028413303618414543,-0.02899347209201575,-0.028226214569461616,-0.028505008020682787,-0.028817379857892123,-0.028449730822632913,-0.028934321200895452,-0.028437699299066255,-0.029045012034564555,-0.02891960000575522,-0.028205401804443864,-0.028449849774274005,-0.02890267546602765,-0.02879590336223281,-0.028955076708352512,-0.02822248457224119,-0.028504038825518996,-0.028351475823861882,-0.0288512884451394,-0.02862533681776025,-0.02826246857107595,-0.028435461070233425,-0.02844466299937476,-0.027888364003393007,-0.02911001885101483,-0.02852473870872918,-0.028619854215962803,-0.028127121299120872,-0.02885647727203733,-0.02879006863937228,-0.028617878628820148,-0.02866917937293545,-0.028524981423960205,-0.02832202921012228,-0.02798954745870863,-0.028213416821606274,-0.02848457499454593,-0.028284009353965467,-0.028432339072871127,-0.02836036427743438,-0.028245164954589064,-0.02841976140600433,-0.028169386141825625,-0.028465256193557775,-0.028058618725871898,-0.028553625920004988,-0.028500261800040616,-0.027988602013127473,-0.02838810869487518,-0.028457087852505114,-0.028977635594174878,-0.028780267178841856,-0.02825080526754964,-0.028879636312589385,-0.02821684127046098,-0.028461901025315872,-0.02879253635412049,-0.028221322335418186,-0.028859032638655524,-0.02848296044475196,-0.02861504843050533,-0.028653316345648494,-0.02867283339761928,-0.02889146328750769,-0.02873687169471628,-0.02867309403337137,-0.028976907326686674,-0.028518879383407802,-0.028703243786936783,-0.02906551529576684,-0.028588382884584207,-0.028750860527772648,-0.028361145757389683,-0.028564153416539617,-0.028398661436197403,-0.028299882654764796
2016-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
