Date,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5
2016-01-01,[CP | 21.0%],[CC | 18.0%],[NG | 15.0%],[HE | 14.0%],[ZS | 10.0%],[HE | 44.0%],[NG | 30.0%],[CP | 11.0%],[ZS | 4.0%],[CT | 4.0%]
2016-02-01,[CT | 31.0%],[CC | 19.0%],[CP | 10.0%],[ZS | 9.0%],[CF | 8.0%],[CT | 29.0%],[NG | 23.0%],[CC | 18.0%],[ZS | 6.0%],[CP | 6.0%]
2016-03-01,[CC | 26.0%],[ZS | 17.0%],[GD | 16.0%],[CT | 14.0%],[SV | 11.0%],[NG | 23.0%],[CC | 16.0%],[CT | 11.0%],[LE | 9.0%],[CP | 9.0%]
2016-04-01,[SV | 35.0%],[ZW | 19.0%],[HE | 14.0%],[CO | 7.0%],[ZC | 7.0%],[LE | 21.0%],[HE | 21.0%],[SV | 11.0%],[ZW | 11.0%],[CO | 10.0%]
2016-05-01,[SV | 27.0%],[HE | 15.0%],[CC | 14.0%],[CO | 9.0%],[ZC | 7.0%],[HE | 36.0%],[CO | 18.0%],[SV | 11.0%],[CC | 6.0%],[LE | 6.0%]
2016-06-01,[CC | 17.0%],[HO | 16.0%],[SV | 13.0%],[CT | 12.0%],[HE | 11.0%],[LE | 29.0%],[CO | 14.0%],[CC | 14.0%],[SV | 10.0%],[CT | 9.0%]
2016-07-01,[ZC | 24.0%],[CC | 16.0%],[ZS | 15.0%],[HE | 15.0%],[ZW | 7.0%],[ZS | 22.0%],[HE | 18.0%],[CC | 14.0%],[ZW | 14.0%],[LE | 8.0%]
2016-08-01,[ZS | 40.0%],[SV | 15.0%],[HE | 14.0%],[ZC | 8.0%],[NG | 7.0%],[ZS | 45.0%],[NG | 19.0%],[CP | 7.0%],[HE | 6.0%],[LE | 6.0%]
2016-09-01,[NG | 25.0%],[HE | 23.0%],[CC | 20.0%],[SV | 10.0%],[GD | 9.0%],[HE | 25.0%],[NG | 21.0%],[CC | 17.0%],[CO | 13.0%],[LE | 9.0%]
2016-10-01,[SV | 28.0%],[CO | 23.0%],[SU | 11.0%],[NG | 9.0%],[HE | 8.0%],[NG | 23.0%],[CO | 19.0%],[HE | 16.0%],[LE | 11.0%],[HO | 11.0%]
