Date,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5
2016-01-01,[ZW | 64.0%],[CP | 20.0%],[SV | 13.0%],[ZC | 3.0%],,[NG | 87.0%],[HE | 13.0%],,,
2016-02-01,[CF | 60.0%],[HO | 40.0%],,,,[HE | 35.0%],[CT | 35.0%],[CC | 20.0%],[HO | 10.0%],
2016-03-01,[LE | 100.0%],,,,,[LE | 100.0%],,,,
2016-04-01,[ZW | 93.0%],[ZC | 7.0%],,,,[ZW | 76.0%],[ZS | 21.0%],[ZC | 3.0%],,
2016-05-01,[SV | 73.0%],[CO | 27.0%],,,,[CO | 49.0%],[ZW | 31.0%],[SV | 20.0%],,
2016-06-01,[HE | 100.0%],,,,,[HE | 100.0%],,,,
2016-07-01,[ZC | 86.0%],[HE | 6.0%],[CC | 5.0%],[ZW | 3.0%],,[ZC | 52.0%],[CC | 48.0%],,,
2016-08-01,[ZW | 47.0%],[CF | 19.0%],[ZS | 17.0%],[ZC | 17.0%],,[ZS | 59.0%],[ZW | 40.0%],[NG | 1.0%],,
2016-09-01,[HE | 64.0%],[CO | 36.0%],,,,[HE | 100.0%],,,,
2016-10-01,[HE | 53.0%],[CO | 47.0%],,,,[HE | 100.0%],,,,
2016-11-01,[CF | 49.0%],[CO | 30.0%],[ZC | 21.0%],,,[CF | 79.0%],[CO | 10.0%],[ZC | 8.0%],[SU | 3.0%],
2016-12-01,[CF | 51.0%],[CC | 49.0%],,,,[CF | 85.0%],[CC | 15.0%],,,
2017-01-01,[NG | 100.0%],,,,,[NG | 100.0%],,,,
2017-02-01,[HE | 62.0%],[HO | 38.0%],,,,[HE | 87.0%],[LE | 12.0%],[HO | 1.0%],,
2017-03-01,[HO | 100.0%],,,,,[HO | 58.0%],[CP | 40.0%],[LE | 2.0%],,
2017-04-01,[CO | 88.0%],[CF | 12.0%],,,,[CO | 80.0%],[CF | 17.0%],[LE | 3.0%],,
2017-05-01,[CF | 77.0%],[CP | 23.0%],,,,[CP | 100.0%],,,,
2017-06-01,[NG | 90.0%],[HE | 10.0%],,,,[CO | 57.0%],[NG | 42.0%],[HE | 1.0%],,
2017-07-01,[LE | 100.0%],,,,,[LE | 100.0%],,,,
2017-08-01,[NG | 55.0%],[CF | 45.0%],,,,[NG | 100.0%],,,,
2017-09-01,[LE | 100.0%],,,,,[LE | 100.0%],,,,
