Date,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5
2016-01-01,[CF | 100.0%],,,,,[HO | 76.0%],[CF | 24.0%],,,
2016-02-01,[ZC | 100.0%],,,,,[LE | 100.0%],,,,
2016-03-01,[NG | 92.0%],[ZW | 6.0%],[CF | 2.0%],,,[NG | 64.0%],[HO | 36.0%],,,
2016-04-01,[CF | 100.0%],,,,,[LE | 87.0%],[CF | 13.0%],,,
2016-05-01,[SU | 64.0%],[ZS | 36.0%],,,,[NG | 100.0%],,,,
2016-06-01,[CF | 84.0%],[SV | 10.0%],[ZW | 6.0%],,,[CF | 55.0%],[ZW | 45.0%],,,
2016-07-01,[NG | 83.0%],[CO | 17.0%],,,,[LE | 100.0%],,,,
2016-08-01,[CO | 100.0%],,,,,[CO | 92.0%],[GD | 7.0%],[HE | 1.0%],,
2016-09-01,[ZC | 100.0%],,,,,[HO | 70.0%],[ZC | 30.0%],,,
2016-10-01,[SU | 96.0%],[ZC | 3.0%],[ZW | 1.0%],,,[ZC | 72.0%],[SU | 25.0%],[ZW | 3.0%],,
2016-11-01,[HO | 100.0%],,,,,[HO | 58.0%],[LE | 40.0%],[ZS | 2.0%],,
2016-12-01,[NG | 100.0%],,,,,[LE | 100.0%],,,,
2017-01-01,[HE | 100.0%],,,,,[HE | 99.0%],[HO | 1.0%],,,
2017-02-01,[NG | 93.0%],[CO | 7.0%],,,,[CP | 95.0%],[CO | 3.0%],[GD | 2.0%],,
2017-03-01,[HE | 100.0%],,,,,[HE | 94.0%],[CO | 6.0%],,,
2017-04-01,[NG | 100.0%],,,,,[NG | 100.0%],,,,
2017-05-01,[NG | 86.0%],[LE | 14.0%],,,,[LE | 100.0%],,,,
2017-06-01,[CC | 61.0%],[CF | 23.0%],[HE | 12.0%],[CP | 4.0%],,[CC | 58.0%],[CP | 42.0%],,,
2017-07-01,[HO | 94.0%],[CO | 6.0%],,,,[HO | 100.0%],,,,
2017-08-01,[ZW | 99.0%],[HE | 1.0%],,,,[HO | 100.0%],,,,
2017-09-01,[NG | 100.0%],,,,,[CO | 53.0%],[SU | 24.0%],[NG | 15.0%],[GD | 8.0%],
2017-10-01,[LE | 71.0%],[GD | 29.0%],,,,[GD | 69.0%],[LE | 31.0%],,,
2017-11-01,[ZW | 100.0%],,,,,[ZW | 80.0%],[CP | 20.0%],,,
2017-12-01,[ZC | 79.0%],[HE | 12.0%],[LE | 7.0%],[SU | 2.0%],,[HE | 99.0%],[ZC | 1.0%],,,
2018-01-01,[HE | 100.0%],,,,,[HE | 100.0%],,,,
2018-02-01,[CC | 53.0%],[NG | 47.0%],,,,[CC | 100.0%],,,,
2018-03-01,[ZW | 100.0%],,,,,[ZW | 71.0%],[ZS | 15.0%],[LE | 13.0%],[CO | 1.0%],
2018-04-01,[LE | 98.0%],[CC | 1.0%],[CO | 1.0%],,,[LE | 100.0%],,,,
2018-05-01,[HO | 97.0%],[LE | 3.0%],,,,[LE | 84.0%],[GD | 14.0%],[CT | 2.0%],,
2018-06-01,[ZW | 100.0%],,,,,[ZW | 65.0%],[HE | 35.0%],,,
2018-07-01,[NG | 100.0%],,,,,[NG | 71.0%],[HE | 29.0%],,,
2018-08-01,[LE | 45.0%],[HO | 44.0%],[SV | 11.0%],,,[LE | 100.0%],,,,
2018-09-01,[NG | 100.0%],,,,,[NG | 65.0%],[LE | 35.0%],,,
2018-10-01,[LE | 93.0%],[CF | 7.0%],,,,[LE | 59.0%],[CP | 38.0%],[CF | 3.0%],,
2018-11-01,[CC | 100.0%],,,,,[CC | 100.0%],,,,
2018-12-01,[HE | 96.0%],[LE | 4.0%],,,,[LE | 100.0%],,,,
2019-01-01,[HO | 100.0%],,,,,[HO | 69.0%],[LE | 31.0%],,,
2019-02-01,[LE | 96.0%],[CT | 4.0%],,,,[LE | 100.0%],,,,
2019-03-01,[NG | 44.0%],[LE | 18.0%],[CC | 17.0%],[CF | 16.0%],[ZW | 5.0%],[NG | 66.0%],[CC | 34.0%],,,
2019-04-01,[CT | 100.0%],,,,,[CO | 57.0%],[ZC | 30.0%],[GD | 13.0%],,
2019-05-01,[SU | 54.0%],[HO | 27.0%],[HE | 19.0%],,,[SU | 91.0%],[HE | 9.0%],,,
2019-06-01,[HE | 97.0%],[NG | 3.0%],,,,[NG | 52.0%],[HE | 48.0%],,,
2019-07-01,[CC | 60.0%],[CP | 40.0%],,,,[CP | 90.0%],[CC | 10.0%],,,
2019-08-01,[CT | 78.0%],[ZW | 22.0%],,,,[CT | 98.0%],[CC | 2.0%],,,
2019-09-01,[NG | 100.0%],,,,,[NG | 100.0%],,,,
2019-10-01,[CO | 98.0%],[SU | 2.0%],,,,[CO | 100.0%],,,,
2019-11-01,[CO | 100.0%],,,,,[CO | 100.0%],,,,
2019-12-01,[HE | 100.0%],,,,,[HE | 100.0%],,,,
2020-01-01,[SU | 100.0%],,,,,[SU | 100.0%],,,,
2020-02-01,[NG | 100.0%],,,,,[NG | 100.0%],,,,
2020-03-01,[HE | 53.0%],[HO | 34.0%],[CO | 13.0%],,,[CO | 88.0%],[ZW | 12.0%],,,
2020-04-01,[CO | 100.0%],,,,,[CO | 100.0%],,,,
2020-05-01,[CO | 98.0%],[HE | 2.0%],,,,[CO | 96.0%],[HO | 4.0%],,,
2020-06-01,[HE | 100.0%],,,,,[CP | 94.0%],[HE | 6.0%],,,
2020-07-01,[CT | 100.0%],,,,,[ZS | 58.0%],[CF | 42.0%],,,
2020-08-01,[CO | 100.0%],,,,,[CO | 99.0%],[SV | 1.0%],,,
2020-09-01,[CO | 76.0%],[HO | 24.0%],,,,[CF | 100.0%],,,,
2020-10-01,[LE | 52.0%],[ZW | 42.0%],[HE | 6.0%],,,[SV | 100.0%],,,,
2020-11-01,[NG | 100.0%],,,,,[ZC | 79.0%],[CO | 17.0%],[SU | 4.0%],,
2020-12-01,[CO | 52.0%],[HE | 26.0%],[CC | 12.0%],[CP | 10.0%],,[SV | 100.0%],,,,
2021-01-01,[CO | 100.0%],,,,,[CO | 86.0%],[HO | 14.0%],,,
2021-02-01,[HO | 70.0%],[CO | 20.0%],[NG | 10.0%],,,[HO | 49.0%],[CO | 32.0%],[CF | 19.0%],,
2021-03-01,[CT | 40.0%],[HO | 26.0%],[CO | 22.0%],[ZC | 12.0%],,[ZC | 48.0%],[SV | 33.0%],[CF | 10.0%],[HO | 9.0%],
2021-04-01,[HE | 91.0%],[CO | 9.0%],,,,[HE | 96.0%],[ZS | 4.0%],,,
2021-05-01,[NG | 78.0%],[CO | 22.0%],,,,[HO | 46.0%],[NG | 43.0%],[CO | 11.0%],,
2021-06-01,[CO | 100.0%],,,,,[CO | 96.0%],[CF | 4.0%],,,
